acronym,spell_out,variation
NCEP/NCAR,National Centers for Environmental Prediction/National Center for Atmospheric Research (NCEP/NCAR),NCEP/NCAR||
HDPE,high-density polyethylene (HDPE),
GRG,,
NOx,,
NOy,,
SPOT/HRV-XS,,
SBI3-02,,
3-TF,,
HCL,,
IGES,,
NARCM,,
MB,,
ML,,
ARCSS/LAII/ATLAS,,
"
BE",,
OPP-9732126,,
SHEBA/FIRE,,
MLLW,,
MS,,
GMT,,
HCl,,
ETOPO5,,
DON,dissolved organic nitrogen (DON),Nitrogen (DON)||
RAISE,Russian-American Initiative on Shelf-land Environments (RAISE),
MM5,,
DOC,dissolved organic carbon (DOC),dissolved organic matter concentration (DOC)||Dissolved organic carbon matter concentration (DOC)||Dissolved Organic Carbon (DOC)||
/NCAR,,
LM3,,
NCAR's,,
DOE,Department of Energy (DOE),
SMO,,
HLY08-02,,
STATION,,
DOS,,
NDWI,Normalized Difference Water Index (NDWI),
SMB,,
DOT,,
TICs,,
WOA,,
NCEP,National Centers for Environmental Prediction (NCEP),NCEP||
WHP,,
WHS,West Hanna Shoal (WHS),
12XL,,
GC-FID,Gas Chromatography with Flame Ionization Detection (GC-FID),Flame Ionization Detection (GC-FID)||
DOCUMENT,,
flux-PAM,,
DVD-ROM,,
ART-Russia,,
SPO,,
ISO-1,,
CIRES,Cooperative Institute for Research in Environment Sciences (CIRES),Cooperative Institute of Research in Environment Sciences (CIRES)||
BSIERP,,
IICDC,,
LTK,Local and Traditional Knowledge (LTK),
VEL,velocity fields (VEL),
SNACS,,
14C-NaHCO3,,
LDEO,,
RCM,,
SS,Sea Surface (SS),
SR,solar radiation (SR),"solar radiation (SR, in units of watts per meter squared)||"
ALD,active layer depth (ALD),
WEBSEC,Western Beaufort Sea Ecological cruise (WEBSEC),Western Beaufort Sea Ecological (WEBSEC) cruise||
PLEASE,,
MMP,,
MMS,Minerals Management Service (MMS),
1KM,,
SH,,
SBE,Sea-Bird Electronics (SBE),SBE||
SBI3-03,,
QXRD,quantitative x-ray diffraction (QXRD),quantitative x-ray diffraction mineralogy (QXRD)||
ALT,active layer thickness (ALT),
SBI,,
HTM,Hydrograph Transformation Model (HTM),
SE,,
POES,Polar-orbiting Operational Environmental Satellites (POES),
cANIMIDA,,
BAR,,
NAD27,North American Datum of 1927 (NAD27),
ERS,,
OPP-9321626,,
DAILY,,
ATLAS,,
TON,,
UTF-8,,
WOCE,World Ocean Circulation Experiment (WOCE),WOCE||
TOC,Total organic carbon (TOC),TOC||
IBP,International Biological Program (IBP),IBP||
UNESCO,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",
IBS,,
HX250,,
TOOL2,,
BGM221,,
MGD77,,
VPR,Video Plankton Recorder (VPR),
SSNOWD,,
SO2,,
COAMPS,,
LT,,
SSN,Sunspot Number (SSN),
OPP-9902695,,
ONR,,
III,,
LRT,,
GRIP,,
HLY0201,,
HLY0203,,
NOAA/PMEL/EcoFOCI,,
RESP,,
UAF-UW,,
FEAST,Forage and Euphausiid Abundance in Space and Time (FEAST),
Exotech-100BX,,
NH4,,
TAPS-8,Tracor Acoustic Profiling System (TAPS-8),
GRID,,
ISS2,,
HLY-02-03,,
CFL,Circumpolar Flaw Lead (CFL),
DMSP,,
DABUL,Depolarization and Backscatter - Unattended Lidar (DABUL),
HLY0802,,
CFG,Configuration file (CFG),
HLY0801,,
LAI-2000,,
CALM,Circumpolar Active Layer Monitoring (CALM),CALM||CALM (Circumpolar Active Layer Monitoring)||
LAII,Land Atmosphere Ice Interaction (LAII),Land-Atmosphere-Ice Interactions (LAII)||
PNG,,
SSNOWD's,,
HLY-03-03,,
BOEMRE,Bureau of Ocean Energy Management Regulation and Enforcement (BOEMRE),"Bureau of Ocean Energy Management, Regulation and Enforcement (BOEMRE)||"
MONTHLY,,
DAS/IMET,,
NOAA,,
SBE-25,,
MIZ,marginal ice zone (MIZ),
SBE-21,,
/SHEBA,,
MIT,,
RAF,Research Aviation Facility (RAF),
MODIS,Moderate Resolution Imaging Spectroradiometer (MODIS),
RV,,
ACE,,
AOA,,
"Data
STA",,
AOL,,
GHz,,
14CO2,,
AOU,,
CH4,,
RA,,
gAFDM/m2,,
SAS,,
SAR,Synthetic Aperture Radar (SAR),SAR||
PRECIPITATION,,
SAT,surface air temperature (SAT),
ARCSS/LAII,,
SHRUB,,
ZIP,,
NPEO,North Pole Environmental Observatory (NPEO),
MRP,Mobile Radiometric Platform (MRP),
WAGB-20,,
BASE,Beaufort Arctic Storms Experiment (BASE),
BIOMAS,Biology/Ice/Ocean Modeling and Assimilation System (BIOMAS),
SBI:,,
MRF,,
LI-6200,,
UNOLS,,
USFWS,U.S. Fish and Wildlife Service (USWFS),
ISUS-sensed,,
SPMD,semipermeable membrane device (SPMD),
MBL-GEM,,
TCMs,,
APP,,
STM-TEM,soil thermal model coupled to the Terrestrial Ecosystem Model (STM-TEM),STM-TEM (soil thermal model coupled to the Terrestrial Ecosystem Model)||
CDOM,,
OPP-9818066,,
NPPSD,North Pacific Pelagic Seabird Database (NPPSD),
iGPS,,
NPstations_2&amp,,
"
BEX_MET_Fields",,
HDR,,
UTC,,
ATLAS/Ivotuk,,
O2UR,oxygen uptake rates (O2UR),
HDF,,
NetCDF,,
TDRs,time depth recorders (TDRs),
PAPP,,
IMET,,
IOEB,Ice-Ocean Environmental buoys (IOEB),
IOS9660,,
NEP,,
ORTHOs,orthorectified mosaics (ORTHOs),
SAMSON,Solar and Meteorological Surface Observation Network (SAMSON),
GC:,,
YYYY/MM/DD,,
EM,electromagnetic (EM),
MIT gcm,MIT General Circulation Model (MIT gcm),
DLF,downwelling flux of longwave radiation (DLF),
TIFF,,
DTLB,drained thaw-lake basin (DTLB),
GCM,General Climate Model (GCM),General Circulation Model (GCM)||
KN19510,,
EB,East Barrow (EB),
ENR,,
SHC,Saturated hydrocarbons (SHC),saturated hydrocarbons (SHC)||
SSHRC,Social Sciences and Humanities Research Council of Canada (SSHRC),
DLT,,
FIRE-ACE/SHEBA,,
HLY08-03,,
CSV,,
CCGS,Canadian Coast Guard Icebreaker Ship (CCGS),
ER,,
NCAR-EOL,,
RADARSAT-1,,
USCGC,United States Coast Guard Cutter (USCGC),USCGC (United States Coast Guard Cutter)||Coast Guard Cutter USCGC)||U.S Coast Guard Cutter (USCGC)||U.S. Coast Guard Cutter (USCGC)||Coast Guard Cutter (USCGC)||
SSL,surface scattering layer (SSL),
NASA,,
RO2,,
HI0902,,
NSF/NCAR,,
SDSU,San Diego State University (SDSU),
ATF, Arctic Task Force (ATF),
ATD,Atmospheric Technology Division (ATD),
NOAA-NGDC,,
ISS,Integrated Sounding System (ISS),integrated sounding system (ISS)||
ATM,Airborne Topographic Mapper (ATM),
14CH4,,
SW3LOC4A,,
ERS-2,,
"Data
NMS",,
SEABIRD,,
SLPT,,
ADU2-3DGPS,,
ISCCP,International Satellite Cloud Climatology Project (ISCCP),
SES,,
AIMR,Airborne Imaging Microwave Radiometer (AIMR),
FOCI,,
PVC,,
DIC,,
ASF,Alaska Satellite Facility (ASF),
IMAGINE,,
TCO2,total carbon dioxide (TCO2),
ASL,,
ASD,,
NMFS,National Marine Fisheries Service (NMFS),
PHENARC,,
README,,
GTS,,
IMU,inertial measurements system (IMU),
P1-92-AR,,
OPP-9902721,,
UNH,,
PDF,,
NO3+NO2+NH4,,
ASFG,Atmospheric Surface Flux Group (ASFG),
LTER,Long Term Ecological Research Program (LTER),Long Term Ecological Research (LTER)||LTER||
STudy,,
KH,,
"ERA40
1979-1980",,
RECONSTRUCTIONS,,
GHCN,,
"2000-2001		ERA40",,
SATI/3K,Sonic Anemometer/Thermometer (SATI/3K),Sonic Anemometer/Thermometer model SATI/3K||
AWS-02-I,,
DO,dissolved oxygen (DO),
CKEditor,,
BASIS,Bering-Aleutian Salmon International Survey (BASIS),
DF,,
SWE,,
AMSR-E,Advanced Microwave Scanning Radiometer - EOS (AMSR-E),AMSR-E (Advanced Microwave Scanning Radiometer - EOS)||
JAMSTEC,Japan Agency for Marine-Earth Science and Technology (JAMSTEC),Japan Marine Science and Technology Center (JAMSTEC)||
BPR,,
BAID,Barrow Area Information Database (BAID),
ARC-0732771,,
JOSS-CODIAC,,
non-BC,,
LAI,,
NSIDC,,
BIO,,
BIL,Band Interleaved by Line (BIL),
DAT,,
ADP,,
METEOSAT,,
CIMS,Chemical Ionization Mass Spectrometer (CIMS),
AKST,Alaska Standard Time (AKST),
RACE,Resource Assessment and Conservation Engineering Division (RACE),
AC-9,,
PRELIMINARYdata,,
POC,particulate organic carbon (POC),Particulate Organic Carbon (POC)||Particulage Organic Carbon (POC)||
EM120,,
NOAA/PMEL,,
SUNY,State University of New York (SUNY),
SAMOS,,
NODC,,
JGOFS,Joint Global Ocean Flux study (JGOFS),Joint Global Ocean Flux Study (JGOFS)||
PO4,,
SLP,,
FSAO,Freshwater Switchyard of the Arctic Ocean (FSAO),
OPP-0097147,,
WS3S,,
CASPR-ARCMIP,,
OPP-9907185,,
FROM,,
"1978-1979		ERA40
1979-1980",,
MK27,,
"2006-2007		TOGA",,
OTC,,
JPG,,
ARM,,
QC,Quality Control (QC),
HLY-04-03,,
AWS-02-1,,
NCDC,National Climatic Data Center (NCDC),
SHEBA:,,
MCR,,
ERDAS,,
GF/F,,
LAII/ATLAS,,
PAR,photosynthetically active radiation (PAR),PAR (photosynthetically active radiation)||
ULF,ultra-low-frequency (ULF),ULF (ultra-low-frequency)||
ICESat,"Ice, Cloud and land Elevation Satellite (ICESat)",
CM14,,
MITgcm,,
KHz,,
J-CADs,,
RADARSAT,,
NMEA,,
GeoTIF,,
PAH,polycyclic aromatic hydrocarbons (PAH),
http://RIMS,,
PAM,portable automated mesonet (PAM),PAM||
RGPS,RADARSAT Geophysical Processor System (RGPS),
RECORDS,,
GTOPO30,,
GISP,,
BC,black carbon (BC),BC (black carbon)||
DCA,,
BCBS,Bering-Chukchi-Beaufort Seas (BCBS),
DAAC,Data Active Archive Center (DAAC),
"
GD_",,
ASF's,,
PUV-510,,
containsCLIP,,
MB-System,,
KB,,
NCAR/SSSF,,
TIROS-N,,
IARC,International Arctic Research Center (IARC),
IGBP,International Geosphere_Biosphere Program (IGBP),International Geosphere\xe2\x80\x93Biosphere Program (IGBP)||
SBE-19,,
PRELIMINARY,,
GPP,gross primary production (GPP),GPP (gross primary production)||
GPS,,
HLY0902,,
HLY0901,,
CAVM,Circumpolar Arctic Vegetation Map (CAVM),Circumpolar Arctic Vegetation Mapping (CAVM)||
ITEX,,
OPP-9870635,,
PHC,,
NIC,Naval Ice Center (NIC),
SYN,,
PAL,Passive Aquatic Listener (PAL),
COMIDA,Chukchi Sea Offshore Monitoring in Drilling Area,
KD-2,,
AWS02-I,,
OPP-9732105,,
CTD/rosette,,
GEM,,
MCRVIEW,,
EM300,,
NASA-MERRA,National Aeronautics and Space Administration - Modern-Era Retrospective Analysis for Research and Applications (NASA-MERRA),
AutoVPR,,
SPEC,,
AWS02,,
ACADIS,,
CSESP,Chukchi Sea Environmental Studies Program,
911+CTD,,
ECMWF,,
RATE,Research on Arctic Tundra Environments (RATE),
POLES,Polar Exchange at the Sea Surface (POLES),
TN249DAS,,
ISFF,,
pre-SHEBA,,
MK30,,
NARL,Navy Arctic Research Laboratory (NARL),
WNW,,
HEALY,,
SPMR/SMSR,,
PH,,
PI,Principal Investigator (PI),
PN,particulate nitrogen (PN),Particulate Nitrogen (PN)||
PO,,
ARCSyM,,
MDM-TEM,,
MTSAT,Meteorological Satellites (MTSAT),
NSA/AAO,,
TBMs,,
HLY-0701,,
GC-MS,Gas Chromatography with Mass Spectrometry (GC-MS),
ERA40,,
ADCP,Acoustic Doppler Current Profiler (ADCP),Acoustic Depth Current Profiler (ADCP)||Acoustic Data Current Profiler (ADCP)||Acoustic Doppler Current Profilers (ADCP)||
JGR,,
#OPP-9708635,,
AKHS2,,
AND,,
ARKTIS,,
NOTE:,,
OPP,,
RegCM2,,
CHN-1000,,
PSD,Particle Size Distribution (PSD),
SSMR/SSMI,,
HX290,,
PDFs,,
SCRIPPS,,
NOAA-18,,
NOAA-19,,
LAII-ATLAS,Land-Atmosphere-Ice Interactions - Arctic Transitions in the Land-Atmosphere System (LAII-ATLAS),Land-Atmosphere-Ice Interactions Arctic Transitions in the Land-Atmosphere System (LAII-ATLAS)||
DVD,,
FISH,fluorescence in situ hybridization (FISH),
KML,,
NOAA-14,,
NOAA-15,,
NOAA-17,,
HX274,,
WHOI,Woods Hole Oceanographic Institution (WHOI),
FSU,Former Soviet Union (FSU),
SEG-Y,,
HH:MM:SS&quot,,
HLY0701,,
USGS,United States Geological Survey (USGS),U. S. Geological Service (USGS)||U.S. Geological Survey (USGS)||
HLY0702,,
RD,,
CASA,Carnegie Ames Stanford Approach (CASA),Carnegie-Ames-Stanford Approach  (CASA)||
OLF,,
SNACS-Hg,Study of the Northern Alaska Coastal System - Mercury (SNACS-Hg),
WERC,Water and Environmental Research Center (WERC),
HLY03-05GC,,
DEMs,digital elevation models (DEMs),
"Data
LTA",,
AOS,,
CH,,
SHEBA_NapuliarCounts,,
OPP-9711609,,
HEX,,
ALTM,,
CD,,
DATCNV,,
mini-CART,mini-Cloud and Radiation Testbed (mini-CART),mini - Cloud and Radiation Testbed (mini-CART)||
ALFS,Alaska Landscape Flux Survey (ALFS),
RM,,
NJ:,,
BGM222,,
CV,,
CU,University of Colorado at Boulder (CU),
CO2,,
SBI4-02,,
TDN,,
TM7,,
RH,relative humidity (RH),
J-CAD,,
TDF,,
N272SA,,
FS3,,
NMC,,
STATISTICAL,,
TDR,time depth recorder (TDR),Time Depth Recorder (TDR)||
OPP-9907127,,
OPP-9814984,,
SCS,,
CASPR,,
SD2,,
HIRHAM,,
WSL,West Siberian Lowland (WSL),
NARL_BAR,,
PMS-2D,,
SSM/I,Special Sensor Microwave/Imager (SSM/I),Speical Sensor Microwave/Imager (SSM/I)||
InSAR DEM,Interferometric Synthetic Aperture Radar Digital Elevation Model (InSAR DEM),
MK39,,
PacMARS,Pacific Marine Arctic Regional Synthesis (PacMARS),Pacific Marine Arctic Research Synthesis Project (PacMARS)||PacMARS||
UHI,urban heat island (UHI),
NSA,,
NSF,National Science Foundation (NSF),NSF||
OASIS,Ocean Atmosphere Sea Ice Snowpack (OASIS),Ocean-Atmosphere-Sea-Ice-Snowpack (OASIS)||Ocean-Atmosphere-Sea Ice-Snowpack (OASIS)||Ocean Atomosphere Sea Ice Snowpack (OASIS)||
TN249,,
GISP2,Greenland Ice Sheet Project Two (GISP2),Greenland Ice Sheet Project 2 (GISP2)||GISP2||
FAC,fluorescent aromatic compounds (FAC),
NH4NO3,,
NOAA-CMDL,,
MJPEG,Motion JPEG (MJPEG),
BOREAS,BOReal Ecosystem Atmosphere Study (BOREAS),
NSF-sponsored,,
VI,,
IR,,
SPOT,,
AERI,Atmospheric Emitted Radiance Interferometer (AERI),
JPEG,,
OTCs,,
II,,
PEUK,,
OPP-9318535,,
SO4,,
YOY,Young-of-the-Year (YOY),
ARC-0722448,,
VOCs,Volatile Organic Compounds (VOCs),
"
STA",,
ID,,
PWV,precipitable water vapor (PWV),
NODC's,,
OKEAN,,
DVDs,,
SeaCAT,,
LiDAR,Light Detection and Ranging (LiDAR),LiDAR||
ARC,,
SSEC,,
EBS,Eastern Bering Sea (EBS),
ARL,Arctic Research Lab (ARL),
SDI,Spatial Data Infrastructure (SDI),
BASC,,
BE,,
NSF-ONR,,
WDC,,
SBE49,,
BA,,
COP,,
TOOL,,
BOS,Borehole Optical Stratigraphy (BOS),
EPR,,
AK01,,
NGDC,,
LMS-,,
BP,,
USCG,,
CCD,,
TIF,,
PIs,,
CCA,,
TIC,turbulence instrument clusters (TIC),
WEBSEC-72,,
PON,particulate organic nitrogen (PON),
CODIAC,,
ATLAS:,,
ARGOS,,
ISUS,,
POM,,
CTD-O,,
JOSS,,
NPCREP,North Pacific Climate Research and Ecosystem Productivity (NPCREP),
TOVS,TIROS-N Operational Vertical Sounder (TOVS),
HPLC,High Performance Liquid Chromatography (HPLC),
NOAA-12,,
"
ENX",,
HRPT,,
OPP-9321730,,
SBI4-03,,
EXCEL,,
"
ENS",,
"
ENR",,
OPP-9214927,,
FY-2,,
HX235,,
NSRDB,National Solar Radiation Data Base (NSRDB),
GLASS,,
ArgGIS,,
PMEL,Pacific Marine Environmental Laboratory (PMEL),
CTD,"Conductivity, Temperature, Depth (CTD)","conduvtctivity-temperature-depth (CTD)||conductivity-temperature-depth (CTD)||conductivity, temperature, density (CTD)||conductivity, temperature, depth (CTD)||Conductivity, temperature, depth (CTD)||conductivity, temperture, depth (CTD)||"
Khz,,
TSG,,
OH,,
BEST,Bering Sea Ecosystem Study (BEST),
LECO,,
OPP-9906740,,
NNRP,,
NATEX,North American ITEX Network (NATEX),North America ITEX Network (NATEX)||
GOES,Geostationary Operational Environmental Satellites (GOES),
SQL,,
ETM+,Enhanced Thematic Mapper Plus (ETM+),
1GB,,
SHEBA,,
EEZ,Exclusive Economic Zone (EEZ),
OC,organic carbon (OC),
HV,Herald Valley (HV),
KN195-10,,
CR10,,
DEM,Digital Elevation Model (DEM),digital elevation model (DEM)||
"
PI:",,
HC,Hanna Canyon (HC),
OPP-9996383,,
SERAC,,
"
NMS",,
228-RA,,
ROM,,
VIS,,
LLS,laser-light scattering (LLS),
EcoFOCI,Ecosystems & Fisheries-Oceanography Coordinated Investigations (EcoFOCI),
MNT,,
OPP-0229766,,
CAB,Chemical and Benthos (CAB),
ETL,,
UTM,,
LLC,,
224RA,,
ROV,remotely operated vehicle (ROV),
TN250DAS,,
USDA,,
BAID‰Ûªs,,
EWG,,
PC02,,
NEPA,National Environmental Policy Act (NEPA),
HLY09-02,,
CYP1a,,
ECCO2,"Estimating the Circulation and Climate of the Ocean, Phase II (ECCO2)",
OPP-9721347,,
co-PI's,,
IABP,International Arctic Buoy Programme (IABP),
OPP-9614557,,
BEST-,,
VOC,Volatile Organic Compound (VOC),
14CO,,
UW,University of Washington (UW),
"
BEX_MET_YYYY",,
US,,
HLY0503-8JPC,,
AVHRR,Advanced Very High Resolution Radiometer (AVHRR),AVHRR||
AVI,,
ANIMIDA,,
HLY0601,,
OPP-9615845,,
HLY,,
CEFAS,"Centre for Environment, Fisheries and Aquaculture Science (CEFAS)",
MOSS,,
CLIP,,
FTIR,,
WSAG,Water Systems Analysis Group (WSAG),
NEE,Net Ecosystem CO2 exchange (NEE),
IDs,,
ACP,Arctic Coastal Plain (ACP),
ACW,Alaskan Coastal Water (ACW),
"
TD_",,
FY1-D,,
DDS2,,
CD-ROM,,
LM1,,
BAID-IMS,,
ARCSS,,
ALaska,,
NJ,,
"
LTA",,
UPAD,,
OPP-9400083,,
NO,,
EB-2,,
Flux-PAM,,
EASE,,
NBP,,
EB-7,,
EB-4,,
BIOS,,
HLY03-05,,
HS,,
HOTRAX,Healy-Oden Trans-Arctic Expedition 2005 (HOTRAX 2005),HOTRAX 2005 (Healy-Oden Trans-Arctic Expedition 2005)||
LM2,,
TEM,Terrestrial Ecosystem Model (TEM),TEM||
ASOF,Arctic Sub-Arctic Ocean Flux (ASOF),
ArcticRIMS,,
ICOP,International Conference on Permafrost (ICOP),
DNA,,
ADS,,
SEASOFT,,
CHRPT,,
03HQAG0177,,
ScanSAR,,
NDVI,Normalized Difference Vegetation Index (NDVI),
RDI,,
HOBO,,
JPL,Jet Propulsion Laboratory (JPL),
ARM-Barrow,,
OPP-9818496,,
HLY03,,
CRREL,Cold Regions Research and Engineering Laboratory (CRREL),
5KM,,
InSAR,,
YYYY&quot,,
9USCGC,,
OPP-9910305,,
CATS,Canadian Archipelago Throughflow Study (CATS),
SBE-43,,
WALE,Western Arctic Linkage Experiment (WALE),
DGPS,Differential Global Positioning System (DGPS),
SIZONET,Seasonal Ice Zone Observing Network (SIZONET),
USA,,
UNIX,,
LWP,liquid water path (LWP),
4-TF,,
MSS,,
VHS,,
SNOW,,
NBP03-04a,,
AGR-1,,
HLY0404,,
USS,,
HLY0403,,
IKONOS,,
HL0802,,
HL0803,,
OPP-0207220,,
DTLBs,Drained Thaw Lake Basins (DTLBs),
MSA,methane sulfonic acid (MSA),
FDX-P2,,
MOCNESS,Multiple Opening/Closing Net and Environmental Sensing System (MOCNESS),
SGP97,Southern Great Plains 1997 (SGP97),
SGP99,Southern Great Plains 1999 Hydrology Experiment (SGP99),
DISAGGREGATION,,
FINAL,,
NBP03-04A,,
TL,trophic level (TL),
TM,Thematic Mapper (TM),
HO2,,
DAS,,
HLY-04-03JOSSMoran,,
BOReal,,
NWT,,
ADCC,,
ULS,,
AK,,
CTD-rosette,,
LIDAR,Light Detection and Ranging (LIDAR),
MACE,Midwater Assessment and Conservation Engineering Program (MACE),
AFSC,Alaska Fisheries Science Center (AFSC),
AT,,
MSS-derived,,
P/WBM,Pan-Arctic Water Balance Model (P/WBM),
ERA-40,,
WAV,,
SMHIRC,,
MATLAB,,
ANCA,,
NWS,National Weather Service (NWS),
N130AR,,
AMTS,Arctic Mesopause Temperature Study (AMTS),
AARI,Arctic and Antarctic Research Institute (AARI),
2-TF,,
netCDF,,
HLY0402,,
HI0701,,
TN250,,
