archieve_ident,title,classification,platform
98.030,2002 CHILL-TEX Raw Flight Data,2002 CHILL-TEX,"Aircraft, SDSMT T-28"
98.004,2003 CHILL-TEX NetCDF Data,2003 CHILL-TEX,"Aircraft, SDSMT T-28"
98.008,2003 CHILL-TEX Video Data,2003 CHILL-TEX,"Aircraft, SDSMT T-28"
98.028,2003 CHILL-TEX Raw Flight Data,2003 CHILL-TEX,"Aircraft, SDSMT T-28"
98.002,2003 JPOLE/TELEX NetCDF Data,2003 JPOLE/TELEX,"Aircraft, SDSMT T-28"
98.006,2003 JPOLE/TELEX Video Data,2003 JPOLE/TELEX,"Aircraft, SDSMT T-28"
98.019,2003 JPOLE/TELEX KOUN Polarimetric Radar Data,2003 JPOLE/TELEX,
98.022,2003 JPOLE/TELEX KTLX WSR-88D Level II Radar Data,2003 JPOLE/TELEX,
98.029,2003 JPOLE/TELEX Raw Flight Data,2003 JPOLE/TELEX,"Aircraft, SDSMT T-28"
98.002,2003 JPOLE/TELEX NetCDF Data,2003 TELEX,"Aircraft, SDSMT T-28"
98.006,2003 JPOLE/TELEX Video Data,2003 TELEX,"Aircraft, SDSMT T-28"
98.019,2003 JPOLE/TELEX KOUN Polarimetric Radar Data,2003 TELEX,
62.292,2003 Helo Survey CTD Data,2003-14,CTD ocean cast
62.311,2003 Helo Survey Nutrients and Oxygen Isotope Samples,2003-14,CTD ocean cast
62.312,"2003 Helo Survey ISUS Nitrate Concentrations, Temperature, Salinity, and Density",2003-14,CTD ocean cast
102.080,HLY-07-01 and HLY-07-02 Observations of Marine Mammals of Beringia,Abundance,Ship
102.081,HLY-08-01 and HLY-08-02 Observations of Marine Mammals of Beringia,Abundance,Ship
102.082,HLY-06-01 Observations of Marine Mammals of Beringia,Abundance,Ship
102.142,HLY-09-02 CTD and Nutrient Data,Abundance,CTD ocean cast
102.163,Phytoplankton Counts and Carbon Data,Abundance,Ship
102.166,Zooplankton Abundance and Species Composition (Excel),Abundance,Ship
102.1660,Zooplankton Abundance and Species Composition (ASCII),Abundance,Ship
102.167,TN249-10 Microzooplankton Grazing and Phytoplankton Growth Rates,Abundance,Ship
102.180,HLY09-02 Calanus spp. Egg Production Rates,Abundance,Ship
102.195,Polar Sea 10-01 CTD and Nutrient Data,Abundance,CTD ocean cast
102.197,TN250-10 CTD and Nutrient Data,Abundance,CTD ocean cast
102.203,TN249 Microzooplankton Biomass and Composition,Abundance,Ship
102.240,Mesozooplankton population and biomass in the eastern Bering Sea - MOCNESS data - Preliminary,Abundance,Ship
102.241,Mesozooplankton population and biomass in the eastern Bering Sea - CalVET data - Preliminary,Abundance,Ship
102.252,Bacterioplankton abundances during long spring BEST cruises,Abundance,Ship
102.275,PSEA-10-01 Zooplankton abundance,Abundance,Zooplankton Net
102.276,"HLY-09-02 and TN249 Comparison of heterotrophic microbial biomass: bacteria, microflagellates, and microzooplankton protists during spring",Abundance,Ship
102.278,Pelagic distribution and abundance of seabirds in the PROBES area,Abundance,Ship
102.279,PROBES Meso-Zooplankton from 1980 and 1981,Abundance,Ship
102.282,Zooplankton Abundance and Biomass Retrospective,Abundance,Ship
106.217,"Environmental Variability, Bowhead Whale Distributions, and Inupiat Subsistence Whaling - biological data",Abundance,Zooplankton Net
245.B55-002,Summer Microzooplankton in the Bering Sea (B55),Abundance,Ship
245.B57-001,Epibenthos Survey of the Bering Sea (B57),Abundance,Ship
245.B61-002,"Functional Foraging Response, 2008-2010 (B61)",Abundance,Ship
245.B62-001,"Underway Seawater Sampling Aboard F/V Aldebaran in Winter & Summer 2008, Forage Distribution and Ocean Conditions (B62)",Abundance,Ship
245.B62-003,Depth-integrated euphausiid (Family Euphausiidae) backscatter in June and July 2008 (B62),Abundance,Ship
245.B62-004,Depth-integrated midwater pollock biomass in June and July 2008 (B62),Abundance,Ship
245.B62-005,"Depth-integrated euphausiid (Family Euphausiidae) backscatter in June, July, and August 2010 (B62)",Abundance,Ship
245.B62-007,"Underway Seawater Sampling Aboard F/V Aldebaran in Winter & Summer 2009, Forage Distribution and Ocean Conditions (B62)",Abundance,Ship
245.B62-008,"Underway Seawater Sampling Aboard F/V Aldebaran in Winter & Summer 2010, Forage Distribution and Ocean Conditions (B62)",Abundance,Ship
245.B62-009,"Underway Seawater Sampling Aboard NOAA ship Oscar Dyson in 2008, Forage Distribution and Ocean Conditions (B62)",Abundance,Ship
245.B62-010,"Underway Seawater Sampling Aboard NOAA ship Oscar Dyson in 2009, Forage Distribution and Ocean Conditions (B62)",Abundance,Ship
245.B62-011,"Underway Seawater Sampling Aboard NOAA ship Oscar Dyson in 2010, Forage Distribution and Ocean Conditions (B62)",Abundance,Ship
245.B62-015,"Depth-integrated euphausiid (Family Euphausiidae) backscatter in June, July, and August 2009 (B62)",Abundance,Ship
245.B67-001,"Acoustic scattering from fish and euphausiids, Patch Dynamics (B67)",Abundance,Ship
255.010,Bowhead Whale Abundance,Abundance,Manned Field Station
255.014,LSL2002-23 Macrofauna Data,Abundance,Ship
255.015,HLY-05-02 Macrofauna Data,Abundance,Ship
255.045,Oil Industry Marine Mammal Ecology Data,Abundance,Ship
255.048,Epifauna Sampling Data,Abundance,Ship
255.062,Zooplankton Abundance Compilation,Abundance,Ship
62.189,HLY-02-03 Video Plankton Recorder (VPR) Data,Abundance,Ship
62.219,HLY-02-03 Zooplankton Abundance,Abundance,Seawater Sampling
62.220,HLY-02-01 Mesozooplankton Abundance,Abundance,Seawater Sampling
62.221,HLY-02-03 Mesozooplankton Abundance,Abundance,Seawater Sampling
62.222,HLY-04-02 Mesozooplankton Abundance,Abundance,Seawater Sampling
62.223,HLY-04-03 Mesozooplankton Abundance,Abundance,Seawater Sampling
106.345,Sea Ice Experiment: Dynamic Nature of the Arctic (SEDNA),Accompanying Archives,"Satellite, NASA/EOS Terra"
209.107,JMA Best Track Data,Accompanying Archives,
ML.1673,SMEX AMSR-E Validation Data,Accompanying Archives,
ML.1676,SMEX-04 Supporting Data Sets,Accompanying Archives,
ML.2750,Joint Institute for the Study of the Atmosphere and Ocean (JISAO) Climate Data Archive,Accompanying Archives,
ML.2756,AVISO Altimetric Data Product Archive,Accompanying Archives,
ML.2779,First ISCCP Regional Experiment (FIRE) Data Sets,Accompanying Archives,
ML.2780,First ISCCP Regional Experiment (FIRE) II - Atlantic & Stratocumulus Transition Experiment (ASTEX)  Data Sets,Accompanying Archives,
ML.2781,Ocean Circulation Group Pacific Equatorial Buoy Observations ,Accompanying Archives,
ML.2785,NASA Tropospheric Chemistry Program Global Tropospheric Experiment (GTE),Accompanying Archives,
ML.2954,Field Catalog,Accompanying Archives,
ML.3154,ITOP 2010 Field Catalog,Accompanying Archives,
ML.3155,ITOP 2010 Dry Run Field Catalog,Accompanying Archives,
ML.3156,ITOP 2009 Dry Run Field Catalog,Accompanying Archives,
ML.3157,ITOP.org,Accompanying Archives,
ML.3216,JTWC Best Track Data,Accompanying Archives,
ML.3419,NOAA HRD 2010 Typhoon Track Data,Accompanying Archives,
ML.3424,YOTC CloudSat-Collocated A-Train and ECMWF Data Distribution Portal,Accompanying Archives,
ML.3483,ARM MJO Investigation Experiment (AMIE) Data Archive,Accompanying Archives,
ML.3487,Physical Oceanography DAAC,Accompanying Archives,
ML.3508,R/V Mirai Data Site and Cruise Tracks,Accompanying Archives,
ML.3522,National Geodetic Survey Data and Imagery,Accompanying Archives,
ML.3562,EUMETSAT Data and Products,Accompanying Archives,
ML.3563,CINDY-DYNAMO French Data Center,Accompanying Archives,
ML.3603,GRIP Data Archives,Accompanying Archives,
ML.3619,SATMOS Data Center,Accompanying Archives,
ML.3620,CLIMSERV,Accompanying Archives,
ML.3621,CINDY 2011 Data Archive,Accompanying Archives,
ML.3622,Shipboard Automated Meteorological and Oceanographic System (SAMOS) Data Center,Accompanying Archives,
ML.3623,TOGA COARE Upper Air Data Archive,Accompanying Archives,
ML.3646,HARIMAU Data Archive,Accompanying Archives,
ML.3647,MISMO Project Data,Accompanying Archives,
ML.4007,NASA Langley DC3 Merged Aircraft Dataset Archive,Accompanying Archives,
ML.4158,DYNAMO Field Catalog Reports,Accompanying Archives,
ML.4159,DYNAMO Field Catalog Missions Summary,Accompanying Archives,
ML.4597,US EPA Air Quality System (AQS) Air Data,Accompanying Archives,
ML.4625,TIGGE (THORPEX Interactive Grand Global Ensemble) Data Archive ,Accompanying Archives,
ML.4998,NOAA SOAS FTP Site (SOAS password required),Accompanying Archives,
ML.4999,EPA STORET Data Warehouse,Accompanying Archives,
ML.5014,SOAS and SENEX NOAA Data (SENEX password required),Accompanying Archives,
ML.5068,Argonne National Laboratory Atmospheric Boundary Layer Experiments (ABLE),Accompanying Archives,
ML.5073,CAST Data Archive,Accompanying Archives,
ML.5074,ATTREX Data Archive,Accompanying Archives,
ML.5075,SOWER Data Archive,Accompanying Archives,
ML.5118,Southeastern Aerosol Research and Characterization  (SEARCH) Study Data Archive,Accompanying Archives,
ML.5168,CONTRAST Field Catalog,Accompanying Archives,
ML.972,WHOI Buoy Data (STRATUS Ocean Reference Station Meteorological and Surface Velocity Data),Accompanying Archives,
106.200,Snow on the Alaska North Slope Grids,Active Layer/Permafrost,Snow Depth
106.201,"Biocomplexity of Frost-boil Ecosystems Snow Data Report, Alaska North Slope",Active Layer/Permafrost,Snow Depth
106.293,Proceedings of the International Conferences on Permafrost 1963-2008,Active Layer/Permafrost,
106.354,Thermistor data from surface soils and permafrost in the Imnavait Creek watershed,Active Layer/Permafrost,
106.373,Soil microbial parameters in Alaskan tundra soil through the winter,Active Layer/Permafrost,Manned Field Station
106.378,Experimental freeze down of tundra soils,Active Layer/Permafrost,Manned Field Station
106.ARCSS006,"Ecosystem Carbon Fluxes, Toolik Lake, Alaska, 1995 and 1996",Active Layer/Permafrost,
106.ARCSS012,"Meteorology, Vegetation, Radiation, Microtopography, and Thaw Depth Data, Alaska, 1995-1996",Active Layer/Permafrost,
106.ARCSS033,"Active Layer Depth and Snow Depth, Kuparuk Basin, 1995",Active Layer/Permafrost,Snow Depth
106.ARCSS039,"Thaw Depth, Toolik Lake, Alaska, 1995 and 1996",Active Layer/Permafrost,
106.ARCSS040,"Air Temperature and Thaw Depth, North Slope, Alaska: Field Measurements (1995-97) and Computed Values",Active Layer/Permafrost,
106.ARCSS050,Model Output From the 'Frost Index' Permafrost Model: Variations in Circumpolar Frozen Ground Conditions and Modeled Future Conditions,Active Layer/Permafrost,
106.ARCSS087,"N-Factor Values and Air and Ground Surface Temperatures, Kuparuk River Basin, Alaska",Active Layer/Permafrost,Vegetation Sampling
106.ARCSS089,"Preliminary Investigation of Paleoenvironment, Processes, and Carbon Stocks of Drained Thaw-Lake Basins, Arctic Coastal Plain, Alaska",Active Layer/Permafrost,benthic sampling
106.ARCSS090,"Controls on Carbon Flux in Moist Acidic Versus Nonacidic Tundra, Arctic LTER Data",Active Layer/Permafrost,Vegetation Sampling
106.ARCSS103,"Thaw Depth and Vegetation Radiance Measurements, Happy Valley, AK, 1994",Active Layer/Permafrost,Vegetation Sampling
106.ARCSS106,"Daily Air and Active Layer Temperatures From Permafrost Observatories in Alaska, 1986-2001",Active Layer/Permafrost,Meteorological Tower
106.ARCSS158,"Model Output of Active Layer Depth in the Arctic Drainage Basin, 1979-2001",Active Layer/Permafrost,
106.ARCSS160,"Time Series of Active Layer Thickness in the Russian Arctic, 1930-1990",Active Layer/Permafrost,Vegetation Sampling
106.ARCSS166,"Time Series of Seasonally Frozen Ground Depth in the Russian Arctic, 1930-1990",Active Layer/Permafrost,Snow Depth
106.ARCSS900,Toolik Snowfence Experiment: 1994-2002 Active Layer Depth,Active Layer/Permafrost,Snow Depth
106.ARCSS908,"Climate Data from Barrow and Atqasuk, Alaska, 1995-2001",Active Layer/Permafrost,
46.503,Wadati Conference Hydrologic Response Abstract,Active Layer/Permafrost,
46.528,Ivotuk CALM-MAT Thawed Soil Depth (ASCII),Active Layer/Permafrost,Snow Depth
46.529,Ivotuk CALM-MAT Thawed Soil Depth (EXCEL),Active Layer/Permafrost,Snow Depth
46.704,Winter Carbon Flux,Active Layer/Permafrost,
46.710,Ivotuk Thaw Depth Measurements (ASCII),Active Layer/Permafrost,Snow Depth
46.7100,Ivotuk Thaw Depth Measurements (EXCEL),Active Layer/Permafrost,Snow Depth
46.711,Ivotuk Thaw Depth Measurements (ASCII),Active Layer/Permafrost,Snow Depth
46.7110,Ivotuk Thaw Depth Measurements (EXCEL),Active Layer/Permafrost,Snow Depth
46.717,Incorporation of a Permafrost Model into a Large Scale Ecosystem Model,Active Layer/Permafrost,TEM Model
46.815,CALM Home Page,Active Layer/Permafrost,
245.B52-001,Long-term observations on the Bering Sea shelf: ADCP data from mooring site 2 (B52),ADCP,Mooring
245.B52-003,Long-term observations on the Bering Sea shelf: ADCP data from mooring site 4 (B52),ADCP,Mooring
255.036,Oil Industry Physical Oceanography Data,ADCP,Ship
ML.2823,OHH Nearshore Circulation Modeling Project Database Grand Haven  Data,ADCP,
106.302,BAID: NARL BAR flights Index by Quad (1948-49),Aerial Photography,
106.335,Water temperature and bathymetric depth soundings for lakes on the North Slope of Alaska,Aerial Photography,
106.343,Recovered Drained Thaw Lake Basins (DTLBs) on the Arctic Coastal Plain of Alaska using InSAR DEM and Remote Sensing Imagery,Aerial Photography,InSAR
106.346,Alaskan Lake Database Mapped from Landsat Images,Aerial Photography,
106.374,Timelapse Original Images for Columbia Glacier,Aerial Photography,
106.375,Low Resolution Timelapse Movies for Columbia Glacier,Aerial Photography,
106.376,Low Resolution Timelapse Images for Columbia Glacier,Aerial Photography,
106.377,High Resolution Timelapse Images for Columbia Glacier,Aerial Photography,
106.379,"Digital Elevation Models for Aerial Stereographic Flights, 2002-2010",Aerial Photography,
106.380,"Orthorectified Mosaics for Aerial Stereographic Flights, 2002-2009",Aerial Photography,
106.381,"Hillshade Rasters for Digital Elevation Models, 2002-2010",Aerial Photography,
106.382,"Aerial Photographs from Columbia Glacier, 1976-2010",Aerial Photography,
106.383,"Glacier Surface Velocity Fields from Columbia Glacier, 2004-2010",Aerial Photography,
106.418,Sea Ice Melt Ponds: Aerial Photo Mosaic,Aerial Photography,High Latitude Transects
106.ARCSS130,A Half-Century of Change in Arctic Alaskan Shrubs: A Photographic-Based Assessment,Aerial Photography,
46.637,"Aerial photos (TIFF) for western transect, northern Alaska",Aerial Photography,"Aircraft, Research"
ML.2823,OHH Nearshore Circulation Modeling Project Database Grand Haven  Data,Aerial Photography,
220.040,NSF/NCAR C-130 Wyoming Cloud Lidar (WCL) Aerosol Spatial Distribution Images and Data,Aerosols,LIDAR
220.044,NSF/NCAR C-130 Aerosol Time-of-Flight Mass Spectrometer (ATOFMS) Data,Aerosols,"Aircraft, NSF/NCAR C-130"
220.045,NSF/NCAR C-130 Ice Nuclei Counter (CFDC) Data,Aerosols,"Aircraft, NSF/NCAR C-130"
220.051,NSF/NCAR C-130 Cloud Condensation Nuclei (CCN) Counter Data,Aerosols,"Aircraft, NSF/NCAR C-130"
220.053,NSF/NCAR C-130 Aerosol Particle Spectrometer with Polarization Detection (APSPD) Data,Aerosols,"Aircraft, NSF/NCAR C-130"
220.054,NSF/NCAR C-130 High-flow Dual-channel Differential Mobility Analyzer (HDDMA) Aerosol size distributions,Aerosols,"Aircraft, NSF/NCAR C-130"
ML.3231,NSF/NCAR C-130 Streaker Filter Pack Data,Aerosols,
ML.3232,NSF/NCAR C-130 Giant Nuclei Impactor Data,Aerosols,
ML.3235,NSF/NCAR C-130 Isotopic Water (PICARRO) Data,Aerosols,
ML.3242,NSF/NCAR C-130 CCN Data,Aerosols,
ML.3517,"R/V Mirai MAX-DOAS CO, NO2, Ozone, and AOD Data",Aerosols,
ML.3631,R/V Roger Revelle Water Isotopic Composition Data,Aerosols,
ML.3632,R/V Roger Revelle Aerosol Ion Chemistry Data,Aerosols,
ML.3641,R/V Roger Revelle Aerosol Light Scattering and Absorption Data,Aerosols,
ML.3642,R/V Roger Revelle Aerosol Mass Spectrometry (AMS) Data,Aerosols,
ML.3643,R/V Roger Revelle Condensation Nuclei (CN) and Ultra Fine CN (UFCN) Data,Aerosols,
ML.3644,R/V Roger Revelle Aerosol Optical Depth Data,Aerosols,
ML.3716,ARM Gan Cimel Sunphotometer (CSPHOT) Data,Aerosols,
ML.4000,ARM Gan High Spectral Resolution Lidar (HSRL) Data,Aerosols,
ML.4062,"ARM Gan Aerosol Optical Depth, derived from MFRSR/NIMFR (MFRSRAOD) VAP Data",Aerosols,
ML.4592,R/V Roger Revelle Aerosol Mass and Trace Elements Data,Aerosols,
110.085,USAF C-130 Dropsonde Data (EOL Format),Air Force C-130,
209.001,USAF C-130 Dropsonde TEMPDROP Data,Air Force C-130,
209.003,USAF C-130 HDOB GTS Messages,Air Force C-130,
209.089,USAF C-130 Dropsonde KML Data,Air Force C-130,
209.090,USAF C-130 HDOB KML Data,Air Force C-130,
209.091,USAF C-130 Flight Track KML Data,Air Force C-130,
209.093,USAF C-130 RECCO Observation GTS Messages,Air Force C-130,
209.095,USAF C-130 Dropsonde Constant Level Winds KML Data,Air Force C-130,
209.103,USAF-C130 Lagrangian Float Data,Air Force C-130,
209.104,USAF C-130 Flight Level 1-second Resolution Data,Air Force C-130,
209.109,USAF C-130 Radar Videos,Air Force C-130,"Aircraft, USAF C-130"
88.187,Air Force Recon 10 second Flight Level Data,Air Force C-130,
ML.1476,Air Force Recon Dropsonde Data,Air Force C-130,
ML.1848,USAF C-130 SFMR Data,Air Force C-130,
ML.1858,USAF C-130 Flight Level Data,Air Force C-130,
ML.1926,"USAF C-130 GTS (HDOBS, VORTEX and RECCO) Text Products",Air Force C-130,
ML.1993,USAF C-130 AXBT Data,Air Force C-130,
ML.1994,USAF C-130 Drifting Buoy Data,Air Force C-130,
ML.2041,USAF C-130 Radar Data,Air Force C-130,
ML.3070,USAF C-130 Dropsonde High Resolution Data,Air Force C-130,
ML.3077,USAF C-130 AXBT Data,Air Force C-130,
ML.3079,USAF C-130 SFMR Data,Air Force C-130,
ML.3083,USAF C-130 AXCTD Data,Air Force C-130,
ML.3085,USAF C-130 ADOS Drifter Data,Air Force C-130,
ML.3086,USAF C-130 EM-APEX Drifter Data,Air Force C-130,
ML.3087,USAF C-130 SVP Drifter Data,Air Force C-130,
ML.3088,USAF C-130 Super Drifter Data,Air Force C-130,
ML.3089,USAF C-130 AXCP Data,Air Force C-130,
ML.3205,USAF C-130 Vortex Observation GTS Messages,Air Force C-130,
ML.3415,USAF C-130 Flight Level 10-second Resolution Data,Air Force C-130,
ML.3416,USAF C-130 Flight Level 30-second Resolution Data,Air Force C-130,
ML.3417,USAF C-130 Flight Level 60-second Resolution Data,Air Force C-130,
100.016,Aircraft Meteorological Data Reports (AMDAR) and Aircraft Communications Addressing and Reporting System (ACARS) Data,Aircraft,
106.316,Barrow Area Remote Sensing - Digital Elevation Model,Aircraft,"Aircraft, Research"
106.345,Sea Ice Experiment: Dynamic Nature of the Arctic (SEDNA),Aircraft,"Satellite, NASA/EOS Terra"
106.395,Greenland Ice Sheet Surface Elevation Changes From ICESat and ATM,Aircraft,
106.ARCSS009,ARCSS-LAII 1996 Aircraft Radiometric Data,Aircraft,"Aircraft, Research"
106.ARCSS051,LAII Alaska Landscape Flux Survey NOAA/ATDD Long-EZ Aircraft Data,Aircraft,"Aircraft, Research"
106.ARCSS088,North Pole Environmental Observatory (NPEO) Aerial CTD Survey,Aircraft,Seawater Sampling
106.ARCSS129,Circulation in the Freshwater Switchyard of the Arctic Ocean: University of Washington CTD Profile Data,Aircraft,Seawater Sampling
106.ARCSS140,Cloud-Radiation Feedback: Boundary Layer Cloud Microphysical Properties and Processes,Aircraft,"Aircraft, NSF/NCAR C-130"
107.001,Forward-looking Digital Camera Imagery,Aircraft,"Aircraft, NSF/NCAR C-130"
107.010,Chat Logs,Aircraft,"Aircraft, NSF/NCAR GV HIAPER"
107.019,Flight Tracks (Google Earth .kml files),Aircraft,"Aircraft, NSF/NCAR GV HIAPER"
107.037,NSF/NCAR G-V Digital Camera Movie files,Aircraft,"Aircraft, NSF/NCAR GV HIAPER"
112.028,"HIPPO-1 Merged 1-second Meteorology, Atmospheric Chemistry, and Aerosol Data",Aircraft,"Aircraft, NSF/NCAR GV HIAPER"
112.120,HIPPO Merged GC WAS,Aircraft,"Aircraft, NSF/NCAR GV HIAPER"
117.100,"HIPPO-2 Merged 1-second Meteorology, Atmospheric Chemistry, and Aerosol Data",Aircraft,"Aircraft, NSF/NCAR GV HIAPER"
121.012,"HIPPO-3 Merged 1-second Meteorology, Atmospheric Chemistry, and Aerosol Data",Aircraft,"Aircraft, NSF/NCAR GV HIAPER"
13.601,Aircraft NCAR C-130 Low-rate Data (netCDF),Aircraft,"Aircraft, NSF/NCAR C-130"
13.602,Aircraft NCAR C-130 Documentation and Data Quality Materials (Link to NCAR/RAF),Aircraft,"Aircraft, NSF/NCAR C-130"
13.603,Aircraft NCAR C-130 High-rate Data (netCDF),Aircraft,"Aircraft, NSF/NCAR C-130"
13.605,Aircraft UW Convair 580 Data Summaries and documentation (Link to UW/CARG),Aircraft,"Aircraft, Research"
13.610,Aircraft Twin Otter Surface-Properties Surveys,Aircraft,"Aircraft, Research"
13.611,Aircraft Twin Otter Surface-Properties Surveys (Video Tape),Aircraft,"Aircraft, Research"
13.612,Aircraft Helicopter Aerial Photography,Aircraft,"Aircraft, Research"
13.803,Horizontal Variation in Surface Radiative Fluxes at SHEBA Camp,Aircraft,"Aircraft, NSF/NCAR C-130"
13.820,Helicopter Infrared Photometry,Aircraft,
13.835,Aircraft NCAR C-130 High Rate Data,Aircraft,"Aircraft, NSF/NCAR C-130"
13.836,Aircraft NCAR C-130 Multi Channel Cloud Radiometer,Aircraft,"Aircraft, NSF/NCAR C-130"
13.837,SHEBA: NOAA Twin Otter Photography Cloud Videos,Aircraft,"Aircraft, NOAA Twin Otter"
248.019,"HIPPO-4 Merged 1-second Meteorology, Atmospheric Chemistry, and Aerosol Data",Aircraft,"Aircraft, NSF/NCAR GV HIAPER"
249.018,"HIPPO-5 Merged 1-second Meteorology, Atmospheric Chemistry, and Aerosol Data",Aircraft,"Aircraft, NSF/NCAR GV HIAPER"
352.083,TORERO Chat Logs,Aircraft,"Aircraft, NSF/NCAR GV HIAPER"
353.067,Aviation Weather Center Pilot Reports of Icing and Turbulence (PIREPs) Imagery,Aircraft,Forecast
353.068,"Aviation Weather Center Convective, Icing, and Turbulence SIGMET Imagery",Aircraft,Forecast
353.103,Lightning and Aircraft Trajectory Animation,Aircraft,Lightning Photography
46.637,"Aerial photos (TIFF) for western transect, northern Alaska",Aircraft,"Aircraft, Research"
46.715,SDSU Preliminary Aircraft Flux Data,Aircraft,"Aircraft, SDSU Sky Arrow"
46.753,Ivotuk Site Aerial Imagery,Aircraft,
88.044,Chat Logs,Aircraft,
92.093,NCAR IDV Flight Track Imagery,Aircraft,"Aircraft, NSF/NCAR GV HIAPER"
98.001,2000 STEPS NetCDF Data,Aircraft,"Aircraft, SDSMT T-28"
98.002,2003 JPOLE/TELEX NetCDF Data,Aircraft,"Aircraft, SDSMT T-28"
98.003,2002 CHILL-TEX NetCDF Data,Aircraft,"Aircraft, SDSMT T-28"
98.004,2003 CHILL-TEX NetCDF Data,Aircraft,"Aircraft, SDSMT T-28"
98.005,2000 STEPS Video Data,Aircraft,"Aircraft, SDSMT T-28"
98.006,2003 JPOLE/TELEX Video Data,Aircraft,"Aircraft, SDSMT T-28"
98.007,2002 CHILL-TEX Video Data,Aircraft,"Aircraft, SDSMT T-28"
98.008,2003 CHILL-TEX Video Data,Aircraft,"Aircraft, SDSMT T-28"
98.009,1991 CaPE NetCDF Data,Aircraft,"Aircraft, SDSMT T-28"
98.010,1992 RAPS NetCDF Data,Aircraft,"Aircraft, SDSMT T-28"
98.011,1994 VORTEX NetCDF Data,Aircraft,"Aircraft, SDSMT T-28"
98.012,1995 VORTEX NetCDF Data,Aircraft,"Aircraft, SDSMT T-28"
98.013,1998 TINT NetCDF Data,Aircraft,"Aircraft, SDSMT T-28"
98.014,1999 TCAD NetCDF Data,Aircraft,"Aircraft, SDSMT T-28"
98.020,1998 TINT Video Data,Aircraft,"Aircraft, SDSMT T-28"
98.021,1999 TCAD Video Data,Aircraft,"Aircraft, SDSMT T-28"
98.027,1993 NDTE NetCDF Data,Aircraft,"Aircraft, SDSMT T-28"
98.028,2003 CHILL-TEX Raw Flight Data,Aircraft,"Aircraft, SDSMT T-28"
98.029,2003 JPOLE/TELEX Raw Flight Data,Aircraft,"Aircraft, SDSMT T-28"
98.030,2002 CHILL-TEX Raw Flight Data,Aircraft,"Aircraft, SDSMT T-28"
98.032,2000 STEPS Raw Flight Data,Aircraft,"Aircraft, SDSMT T-28"
98.033,1999 TCAD Raw Flight Data,Aircraft,"Aircraft, SDSMT T-28"
98.034,1998 TINT Raw Flight Data,Aircraft,"Aircraft, SDSMT T-28"
98.035,1995 VORTEX Raw Flight Data,Aircraft,"Aircraft, SDSMT T-28"
