project,archive_ident,title,Acronyms,Acronyms_number
ACADIS,106.395,Greenland Ice Sheet Surface Elevation Changes From ICESat and ATM,ICESat || ATM || SERAC || SUNY || ,4
ACADIS,106.402,Climatic instability in interior Alaska from the isotopic record of Late Quaternary ground ice,,0
ACADIS,106.405,"ECCO2 model Arctic Domain, 4km",II || ECCO2 || MIT || MITgcm || ,4
ACADIS,106.403,Temperature and Radiation Observation for Alaskan Shrub Tundra,HOBO || ,1
ACADIS,106.406,SBI Cruise HLY0201 merged bottle dataset,SBI || USCGC || HLY0201 || ,3
ACADIS,106.409,SBI Cruise HLY0403 merged bottle dataset,SBI || USCGC || HLY0403 || ,3
ACADIS,106.408,SBI Cruise HLY0402 merged bottle dataset,SBI || USCGC || HLY0402 || ,3
ACADIS,106.396,Arctic Infrared Satellite Composite Imagery,POES || NOAA || GOES || METEOSAT || MTSAT || FY-2 || ,6
ACADIS,106.397,Arctic Longwave Infrared Satellite Composite Imagery,POES || NOAA || GOES || METEOSAT || MTSAT || FY-2 || ,6
ACADIS,106.398,Arctic Shortwave Infrared Satellite Composite Imagery,POES || NOAA || GOES || METEOSAT || MTSAT || FY-2 || ,6
ACADIS,106.399,Arctic Water Vapor Channel Satellite Composite Imagery,GOES || METEOSAT || MTSAT || FY-2 || ,4
ACADIS,106.411,TOVS-Derived Downwelling Surface Longwave Radiation in the Arctic 1979-2005,DLF || TIROS-N || TOVS || ,3
ACADIS,106.410,SBI Cruise NBP03-04a merged bottle dataset,SBI || USCGC || NBP03-04a || ,3
ACADIS,106.407,SBI Cruise HLY0203 merged bottle dataset,SBI || USCGC || HLY0203 || ,3
ACADIS,106.412,"Greenland snow albedo from MODIS Terra and Aqua, 2000-2010, adjusted for solar zenith angle biases",MODIS || NetCDF || ,2
ACADIS,106.413,Arctic Visible Band Satellite Composite Imagery,POES || NOAA || GOES || METEOSAT || MTSAT || FY-2 || ,6
ACADIS,106.414,"Methane ebullition flux data from thermokarst lakes, 2003-2010",CH<sub>4</sub> || HS || CH<sub>4</sub>] || IARC || ,4
ACADIS,106.415,Low Arctic monitoring of plant community composition and dynamics,,0
ACADIS,106.416,North American Tundra NEE modeled from MODIS data,CO2 || NEE || MODIS || GeoTIF || ,4
ACADIS,106.417,Sea Ice Melt Ponds: Line Photo Composites,,0
ACADIS,106.418,Sea Ice Melt Ponds: Aerial Photo Mosaic,,0
ACADIS,106.419,Sea Ice Melt Ponds: Spectral Albedo,FS3 || ASD || ,2
ACADIS,106.420,"Sea Ice Melt Ponds: Core Temp, Salinity, and Isotope Data",,0
ACADIS,106.421,Sea Ice Melt Ponds: Individual Line Photos,,0
ACADIS,106.422,Sea Ice Melt Ponds: Integrated Albedo,CM14 || CR10 || ,2
ACADIS,106.423,Sea Ice Melt Ponds: Surface Characterization,,0
ACADIS,106.424,"Sea Ice Melt Ponds: Snow, SSL, and Pond Depths",SSL || ,1
ACADIS,106.425,Sea Ice Melt Ponds: LiDAR Scanning Data,LiDAR || LMS- || ,2
ACADIS,106.426,Sea Ice Melt Pond Data,SIZONET || AK || LiDAR || ,3
ACADIS,106.428,Polar Bears: Morphological measurements and body condition at capture,IDs || ,1
ACADIS,106.429,Polar Bears: Adipose analyses,IDs || ,1
ACADIS,106.435,Polar Bears: Location and movements,GPS || IDs || ,2
ACADIS,106.436,Polar Bears: Body temperature,IDs || ,1
ACADIS,106.433,Polar Bears: Muscle analyses,DNA || IDs || ,2
ACADIS,106.431,Polar Bears: Drug and vital information at capture,IDs || ,1
ACADIS,106.432,Polar Bears: Blood analyses,IDs || ,1
ACADIS,106.434,Polar Bears: Breath analyses,IDs || ,1
ACADIS,106.427,Adaptive long-term fasting in land and ice-bound polar bears: Data Table,USGS || ,1
ACADIS,106.437,Passive acoustic recording data from the Alaskan Beaufort Sea,,0
ACADIS,106.438,History of the Arctic Flora in North America,DNA || ,1
ACADIS,106.439,"Qalluuraq Lake, Alaska 12,000 Year Multiproxy Methane Sediment Data",NOAA || ,1
ACADIS,106.440,"Quartz Lake, Alaska 11,200 Year Chironomid and Stable Isotope Data",NOAA || ,1
ACADIS,106.441,"Rantin Lake, Yukon 10,900 - 3,100 YrBP Multiproxy Sediment Data",NOAA || ,1
ACADIS,106.442,Barrow Area Remote Sensing- MET Data,"/>
BE || BEN || BEC || BES || />
BEX_MET_YYYY || YYYY&quot || />
BEX_MET_Fields || ",7
ACADIS,106.443,Barrow Area Remote Sensing- Soil Ecology Data,II || III || ,2
ACADIS,106.444,Barrow Area Remote Sensing- BE CH4 Fall 2009,CO2 || CH4 || ,2
ACADIS,106.445,Barrow Area Remote Sensing- BE CO2 Flux Summer 2009,CO2 || ,1
ACADIS,106.446,Barrow Area Remote Sensing- BE Soil Data 2009,CO2 || ,1
ACADIS,106.447,Changing Seasonality of Tundra Plant-Soil Interactions,PAR || SR || NDVI || PIs || ASCII || ,5
ACADIS,999.test.xml.1,Test dataset for ACADIS XML,CKEditor || HTML || UTF-8 || SQL:</p> || ,4
ACADIS,106.448,"Understanding Climate-Driven Phenological Change - Observations, Adaptations and Cultural Implications in Northeastern Siberia and Labrador/Nunatsiavut (PHENARC)",PHENARC || II || ,2
ACADIS,106.449,"Dune Lake, Alaska 12,000 Year Multiproxy Sediment Data",,0
AMTS,215.001,"AMTS: NCAR/NSF C-130 Low Rate (1 sps) Navigation, State Parameter, and Microphysics Flight-Level Data [NCAR/EOL]",NetCDF || NSF/NCAR || AMTS || LRT || ,4
AMTS,215.002,AMTS: Raw Airborne Data System (ADS) Data [NCAR/EOL],NSF/NCAR || N130AR || AMTS || ADS || ,4
ARC-MIP,61.001,ARCMIP: Atmospheric Initial and Boundary Conditions (Cassano),ARCMIP || HDF || ECMWF || DLT || ,4
ARC-MIP,61.002,ARCMIP: CASPR-ARCMIP 1997 Dataset (Curry),SHEBA || AVHRR || ARCMIP || ,3
ARC-MIP,61.003,ARCMIP: CASPR-ARCMIP 1998 Dataset (Curry),SHEBA || AVHRR || ARCMIP || ,3
ARC-MIP,61.004,ARCMIP: ISCCP Cloud and Radiative Flux in 50km ARCMIP-EASE Grid (Curry),ISCCP || FDX-P2 || EASE-Grid || ,3
ARC-MIP,61.005,ARCMIP: CASPR-ARCMIP EASE GRID Data (Curry),CASPR-ARCMIP || EASE || GRID || SHEBA || AVHRR || ,5
ARC-MIP,61.006,ARCMIP: EASE-Grid Model Data,ARCMIP || EASE-Grid || NetCDF || ARCSyM || COAMPS || HIRHAM || NARCM || SMHIRC || ,8
ARC-MIP,61.007,ARCMIP: CASPR-ISCCP EASE-Grid Data,CASPR || SHEBA || AVHRR || ARCMIP || EASE-Grid || ISCCP || FDX-P2 || ,7
ARCSS,106.210,SNACS Atmospheric Model: source code and configuration files,SNACS || MM5 || UTC || ,3
ARCSS,106.ARCSS093,"Radiation Measurements from the USCGC Polar Sea, 1994",AOS || FTIR || ASCII || ,3
ARCSS,106.ARCSS019,Canadian Rivers Data Set,,0
ARCSS,106.ARCSS026,Nitrate and Conductivity Data from the GISP H Core,GISP || ,1
ARCSS,106.ARCSS062,"R-ArcticNet: A Regional, Electronic, Hydrographic Data Network for the Arctic Region",ASCII || ,1
ARCSS,106.ARCSS091,"Monitoring and Manipulation of Tundra Response to Climate Change, Arctic LTER, Toolik Lake, Alaska",LTER || ARCSS || NSIDC || ,3
ARCSS,106.ARCSS165,"Mooring and Drifting Buoy Data: Beaufort Gyre Freshwater Experiment, 2003",MMP || ASL || ULS || BPR || ,4
ARCSS,106.ARCSS167,"Reindeer Herding in Transition: Feedbacks Between Climate, Caribou, and Local Communities in  Northwest Alaska",JPEG || ,1
ARCSS,106.ARCSS169,"Collaborative Research: Spatial and Temporal Variability of Ground Temperature and Thaw, Northern Alaska",,0
ARCSS,106.ARCSS159,"Influence of Ocean Surface Conditions on the Regional Climate of the Northernmost Atlantic, 1988-2004",NCAR || MM5 || ECMWF || TOGA || SMB || ,5
ARCSS,106.218,North Pole Bottom Pressure Records,ABPR || ASCII || ,2
ARCSS,106.223,Agashashok Microclimate,AK || UTC || ,2
ARCSS,106.224,Agashashok White Spruce Branch Growth 2005-2008,NH4NO3 || AK || ,2
ARCSS,106.226,Thule Fen CO2 Exchange 2004-2006,CO2 || OTCs || LI-6200 || ,3
ARCSS,106.227,Thule Leaf Gas Exchange Salix and Dryas 2005,CO2 || NH4NO3 || ,2
ARCSS,106.228,Thule Biocomplexity - Gross Ecosystem Photosynthesis,,0
ARCSS,106.225,Agashashok White Spruce Needle Gas Exchange 2007-2008,CO2 || NH4NO3 || AK || ,3
ARCSS,106.229,Lena River ADCP Transects,ADCP || RDI || NSF || ,3
ARCSS,106.212,SNACS Atmospheric Model: Time Series Data - 3-hourly,"SNACS || MM5 || 1978-1979		ERA40
1979-1980 || 2000-2001		ERA40 || SSMR/SSMI || NSIDC || 2006-2007		TOGA || NNRP || AK || ",9
ARCSS,106.ARCSS069,Into the Arctic -- Information and Educational Activities for Studying Climate,GISP2 || CD || ,2
ARCSS,106.234,Russian and Norwegian River Daily Discharge from ArcticRIMS,,0
ARCSS,106.232,Synthesis and Scaling of Hydrologic and Biogeochemical Data on the North Slope and Coastal Zone of Alaska,SNACS || ,1
ARCSS,106.ARCSS140,Cloud-Radiation Feedback: Boundary Layer Cloud Microphysical Properties and Processes,SHEBA || NCAR || ISCCP || SHEBA/FIRE || ACE || SPEC || CD-ROM || ,7
ARCSS,106.233,ART-Russia River Temperature,ART-Russia || ,1
ARCSS,106.ARCSS138,Global Snow-Water-Equivalent Depth Coefficient-of-Variation Classification,SNOW || SSNOWD || SSNOWD's || CV || ,4
ARCSS,106.201,"Biocomplexity of Frost-boil Ecosystems Snow Data Report, Alaska North Slope",SWE || ,1
ARCSS,106.202,Biocomplexity of Patterned Ground: Mould Bay Expedition,NWT || ,1
ARCSS,106.203,Biocomplexity of Patterned Ground: Isachsen Expedition,,0
ARCSS,106.204,Banks Island July 2003 Field Report,,0
ARCSS,106.205,Banks Island July 2003 Field Report - Addendum,,0
ARCSS,106.206,Biocomplexity of Frost-boil Ecosystems: Banks Island,NSF || ,1
ARCSS,106.207,Biocomplexity of Patterned Ground: Dalton Highway,,0
ARCSS,106.208,Resource Allocation and Allometry of Plant Growth in the Arctic,ITEX || NEP || ER || LTER || ,4
ARCSS,106.213,SNACS: Snow and Ice Processes in the Deposition and Fate of Mercury in the Arctic,NSF || SNACS-Hg || ,2
ARCSS,106.214,TOVS Polar Pathfinder (Path-P) Derived Arctic Winds,TIROS-N || TOVS || EASE-Grid || NCEP || NJ || ,5
ARCSS,106.216,"SNACS: Environmental Variability, Bowhead Whale Distributions, and Inupiat Subsistence Whaling - oceanographic data",SNACS || CDOM || ,2
ARCSS,106.217,"SNACS: Environmental Variability, Bowhead Whale Distributions, and Inupiat Subsistence Whaling - biological data",SNACS || ,1
ARCSS,106.219,"SNACS: Environmental Variability, Bowhead Whale Distributions, and Inupiat Subsistence Whaling - nutrients",SYN || PEUK || ,2
ARCSS,106.220,"SNACS: Environmental Variability, Bowhead Whale Distributions, and Inupiat Subsistence Whaling - microzooplankton",,0
ARCSS,106.221,"SNACS: Environmental Variability, Bowhead Whale Distributions, and Inupiat Subsistence Whaling - event log",SNACS || ,1
ARCSS,106.222,"SNACS: Environmental Variability, Bowhead Whale Distributions, and Inupiat Subsistence Whaling - CTD data",CTD || SNACS || ,2
ARCSS,106.235,Biocomplexity Project: Soil Pit Chemical and Physical Data,CD || ,1
ARCSS,106.236,"Winter Precipitation, Sublimation, and Snow-Depth in the Pan-Arctic",,0
ARCSS,106.237,Polar Science Center Hydrographic Climatology (PHC),NODC || WOA || NODC's || EWG || AOA || BIO || PHC || ,7
ARCSS,106.ARCSS001,"Air and Ground Surface Temperatures From the Kuparuk Basin, Alaska, 1994-1996",,0
ARCSS,106.ARCSS002,"Alaska North Slope (Sagavanirktok River) Meteorological Data, 1994 and 1995",,0
ARCSS,106.ARCSS003,"Arctic Cyclone Track Data Set, 1966-1993",NMC || SLP || SLPT || ,3
ARCSS,106.ARCSS004,Soil Properties of Carbon-Flux Monitoring Sites in Northwestern Alaska,ARCSS/LAII || ,1
ARCSS,106.ARCSS005,Automated Weather Station Data for Greenland Ice Core Locations,GISP2 || ,1
ARCSS,106.ARCSS006,"Ecosystem Carbon Fluxes, Toolik Lake, Alaska, 1995 and 1996",PAR || ASCII || MS || ,3
ARCSS,106.ARCSS007,"Eddy Flux Data, Alaska North Slope, 1994-1996",,0
ARCSS,106.ARCSS008,Greenland Summit Ice Cores,GRIP || GISP2 || US || SMO || NSIDC || IICDC || INSTAAR || WDC || NOAA || NGDC || ARCSS || NCAR || NOAA-NGDC || ,13
ARCSS,106.ARCSS009,ARCSS-LAII 1996 Aircraft Radiometric Data,NOAA || Long-EZ || ,2
ARCSS,106.ARCSS011,"Chukchi Sea Hydrographic (CTD) Data from the R.V. Alpha Helix Cruise, September 1996",CTD || ,1
ARCSS,106.ARCSS012,"Meteorology, Vegetation, Radiation, Microtopography, and Thaw Depth Data, Alaska, 1995-1996",PAR || LAI || ,2
ARCSS,106.ARCSS013,"Methane Flux Data, Alaska North Slope, 1994-1996",ARCSS/LAII || ,1
ARCSS,106.ARCSS014,"NOAA/CMDL World Climate Data, Global Historical Climatology Network for Alaska",GHCN || ,1
ARCSS,106.ARCSS016,ETOP05 Elevation Data for Areas Greater than 50 degrees North,<p>ETOPO5 || NCAR || ,2
ARCSS,106.ARCSS017,GIS Data from the Alaska North Slope,USGS || DEM-derived || ITUM || ,3
ARCSS,106.ARCSS018,"Terrain and Vegetation of Toolik Lake, AK: Permanent Plots",,0
ARCSS,106.ARCSS020,Land-Cover Map of the North Slope of Alaska,,0
ARCSS,106.ARCSS021,Russian Rivers Data Set,UNESCO || ,1
ARCSS,106.ARCSS022,Large Area Estimates of Carbon Fluxes of Arctic Landscapes,CO2 || ,1
ARCSS,106.ARCSS027,"Snow Pit and Ice Core Data from Southern Greenland, 1984",NO3 || SO4 || GRG || UNH || ,4
ARCSS,106.ARCSS029,"Arctic Ocean Section Porewater Chemistry Data, 1994",,0
ARCSS,106.ARCSS030,Model Output from the Arctic Region Climate System Model (ARCSyM),ARCSyM || NCAR || RegCM2 || LSM || GCM || ,5
ARCSS,106.ARCSS031,"Point Barrow, Alaska and Vicinity Bathymetry",MLLW || NOAA || ,2
ARCSS,106.ARCSS033,"Active Layer Depth and Snow Depth, Kuparuk Basin, 1995",,0
ARCSS,106.ARCSS037,"Snow Depth Measurements from Barrow, Alaska, 1994",ARCSS || ,1
ARCSS,106.ARCSS038,"Soil Temperatures for Happy Valley and Barrow, Alaska, USA",ASCII || FTP || NSF || ARCSS || OPP || SES || ,6
ARCSS,106.ARCSS039,"Thaw Depth, Toolik Lake, Alaska, 1995 and 1996",ASCII || MS || ,2
ARCSS,106.ARCSS040,"Air Temperature and Thaw Depth, North Slope, Alaska: Field Measurements (1995-97) and Computed Values",ARCSS || DEM || ,2
ARCSS,106.ARCSS043,"National Solar Radiation Data Base Hourly Solar Data from Alaska, 1961-1990",NSRDB || NCDC || SAMSON || ,3
ARCSS,106.ARCSS045,Global Seasonal Snow Classification System,NSIDC || ,1
ARCSS,106.ARCSS046,"Regional Survey of Greenland, 1988 - Snow Pit Data",NH4 || NO3 || SO4 || MSA || GRG || ,5
ARCSS,106.ARCSS048,"Snow Pit Data from Greenland Summit, 1987",NH4 || NO3 || SO4 || MSA || ,4
ARCSS,106.ARCSS049,"Snow Pit Data from Greenland Summit, 1989 to 1993",NO3 || SO4 || GRG || GISP2 || ,4
ARCSS,106.ARCSS050,Model Output From the 'Frost Index' Permafrost Model: Variations in Circumpolar Frozen Ground Conditions and Modeled Future Conditions,GCM || ,1
ARCSS,106.ARCSS051,LAII Alaska Landscape Flux Survey NOAA/ATDD Long-EZ Aircraft Data,LAII || ALFS || CO2 || PAR || ,4
ARCSS,106.ARCSS052,"Model Output from the Marine Biology Laboratory General Ecosystem Model (MBL-GEM) for Toolik Lake, 1921-2144, and the Kuparuk River Basin, 1995",,0
ARCSS,106.ARCSS053,Heterotrophic Bacteria and Protists in the Upper Water Column of the Central Arctic Ocean,,0
ARCSS,106.ARCSS054,"Western Arctic Mooring CTD and ADCP Data, 1992-1995",ASCII || ,1
ARCSS,106.ARCSS056,"Soil Survey along the Dempster Highway, Yukon Territory, Canada",SAS || ,1
ARCSS,106.ARCSS057,"Soil Temperatures, Toolik Lake, Alaska, 1995 and 1996",ASCII || MS || ,2
ARCSS,106.ARCSS058,"Canopy Foliage Area Index, Toolik Lake, Alaska, 1995 and 1996",LAI || LAI-2000 || ASCII || MS || ,4
ARCSS,106.ARCSS060,"Sedimentary Denitrification Rates from the Bering, Chukchi, and Beaufort Seas",,0
ARCSS,106.ARCSS064,"SCICEX Hydrographic Data, 1997 and 1998",SCICEX || US || USS || CTD || ,4
ARCSS,106.ARCSS066,Arctic Global Radiation (AGR) Data Set,AGR || AGR-1 || ,2
ARCSS,106.ARCSS070,"SCICEX Dissolved Barium Data, 1993-1997",SCICEX || USS || HDPE || ,3
ARCSS,106.ARCSS073,"Distribution of Zooplankton in the Northeast Water Polynya Project, Summer 1992 and 1993",USCGC || MOCNESS || ,2
ARCSS,106.ARCSS074,"Soil Descriptions and Soil Chemistry for LAII/ATLAS Winter Carbon Flux Sites, Alaska, 1992 and 1998-2000",ARCSS/LAII/ATLAS || USDA || MS || JPG || ,4
ARCSS,106.ARCSS075,Modeled Carbon Responses of Tundra Ecosystems to Historical and Projected Climate,"TEM || 
<p>TEM || ",2
ARCSS,106.ARCSS077,Physical and Chemical Properties from Selected Expeditions in the Arctic Ocean,CTD || CTD/rosette || NODC || SD2 || ,4
ARCSS,106.ARCSS078,Russian Historical Soil Temperature Data,USA || NSF || OPP || OPP-9614557 || OPP-9907541 || OPP-0229766 || ,6
ARCSS,106.ARCSS081,Canadian Transect of Soils and Vegetation for the Circumpolar Arctic Vegetation Map,CAVM || ,1
ARCSS,106.ARCSS083,Happy Valley Permanent Vegetation Plots,,0
ARCSS,106.ARCSS084,"Vegetation and Site Characterization, 1998-99 ATLAS Grid Transect, Northern Alaska",ATLAS || LAI || NDVI || MAT || MNT || MSS-derived || ,6
ARCSS,106.ARCSS087,"N-Factor Values and Air and Ground Surface Temperatures, Kuparuk River Basin, Alaska",NJ: || ,1
ARCSS,106.ARCSS089,"Preliminary Investigation of Paleoenvironment, Processes, and Carbon Stocks of Drained Thaw-Lake Basins, Arctic Coastal Plain, Alaska",,0
ARCSS,106.ARCSS090,"Controls on Carbon Flux in Moist Acidic Versus Nonacidic Tundra, Arctic LTER Data",LTER || OPP-9902695 || OPP-9902721 || ,3
ARCSS,106.ARCSS092,Eurasian River Historical Nutrient and Sediment Flux Data,,0
ARCSS,106.ARCSS095,"North Pole Environmental Observatory (NPEO) Seawater Chemistry, 2000-2005",CTD || CTD-O<sub>2</sub> || NPEO || ,3
ARCSS,106.ARCSS096,"Model Output from MBL-GEM III for a Typical Tussock-Tundra Hill Slope, 1921-2100",MBL-GEM || III || ,2
ARCSS,106.ARCSS097,"Model Output from MBL-GEM III for Typical Tussock Tundra in the Kuparuk River Basin, Alaska, 1921-2100",MBL-GEM || III || ,2
ARCSS,106.ARCSS099,"Summer Surface Hydrographic Measurements in the Laptev Sea, 1980 to 2000",AARI || EEZ || ASCII || ,3
ARCSS,106.ARCSS100,"Vertical Boundary Layer Profiles for Ozone and Meteorological Parameters at Summit, Greenland, 2000",OPP-0097147 || ,1
ARCSS,106.ARCSS102,"Arctic Ocean Barium Concentrations, 1993",BIO || HDPE || ,2
ARCSS,106.ARCSS103,"Thaw Depth and Vegetation Radiance Measurements, Happy Valley, AK, 1994",Exotech-100BX || SPOT/HRV-XS || ,2
ARCSS,106.ARCSS105,"Hydrographic Parameters from Fram Strait and Denmark Strait, 1998",CTD-rosette || ARKTIS || XIV/2 || ,3
ARCSS,106.ARCSS106,"Daily Air and Active Layer Temperatures From Permafrost Observatories in Alaska, 1986-2001",ARCSS || OPP-9531220 || ,2
ARCSS,106.ARCSS107,"Barium Concentrations and Salinity in Arctic River Estuaries, 1993-1996",,0
