project,archive_ident,title,Summary
ACADIS,106.340,"Arctic snow black carbon concentrations, and absorption by other light-absorbing aerosol","These data give estimates of black carbon (BC) mixing ratios from samples of snow or melting sea ice gathered by ourselves or by volunteers, mostly from 2006 to 2009 but with some data from earlier years. Almost all samples were collected in the spring season (March to early May) when the combination of snow cover and exposure to sunlight is maximized, and before the snow had started to melt. In many locations (Canadian Arctic, Russia, Greenland, Troms and Ny lesund) samples were gathered at intervals throughout the snowpack depth, giving information on the seasonal evolution of BC concentrations as the snow accumulated (and/or sublimated) throughout the winter. In addition to estimated BC mixing ratios, we give maximum possible BC concentration, the absorption Angstrom exponent of all light-absorbing aerosol in the snow, and the fraction of spectrally-integrated, solar-spectrum-weighted absorption by non-BC absorbers."
ACADIS,106.341,"Characterization of Potentially Jurassic-Age Mummified Organic Material, Ellesmere Island, Canada","This data set investigates the characteristics and spatial distribution of a mummified forest deposit in Quttinirpaaq National Park, Canada. Analyses include palynological characterization, tree identification, and leaf identification. Preliminary entomological identification is also included, although this analysis is ongoing. Additional files and updates will be added to this dataset as finalized."
ACADIS,106.342,HOTRAX 2005 sediment core HLY0503-8JPC,"This data set provides data for sediment core HLY0503-8JPC (Healy-Oden Trans-Arctic Expedition 2005 (HOTRAX 2005), 2nd leg), a key record for developing an up-to-date stratigraphy for Mid-Late Quaternary sediments in the western Arctic Ocean."
ACADIS,106.343,Recovered Drained Thaw Lake Basins (DTLBs) on the Arctic Coastal Plain of Alaska using InSAR DEM and Remote Sensing Imagery,"Paleoshorelines of Drained Thaw Lake Basins (DTLBs) on the Alaskan North Slope were mapped using the Interferometric Synthetic Aperture Radar Digital Elevation Model (InSAR DEM) and remote sensing imagery. A total of ~10,200 km2 of DTLBs were recovered on a ~22,000 km2 region with the complete latitudinal range of the western Arctic Coastal Plain (ACP) of Alaska. This region extends from the Point Barrow (7123′N) southward to the northern end of the Arctic Foothills physiographic province (6930′N), and from the Beaufort Sea (15423′W) westward to the Chukchi Sea (15813′W). Shape of the region is confined by the valid spatial extent of the airborne InSAR DEM acquired by Intermap Technologies in the summers of 2002-2004. 
For further information, see: Wang, J., Y. Sheng, K.M. Hinkel, and E.A. Lyons, 2011. Drained thaw lake basin recovery on the western Arctic Coastal Plain of Alaska using high-resolution digital elevation models and remote sensing imagery, Remote Sensing of Environment (2011), doi:10.1016/j.rse.2011.10.027."
ACADIS,106.344,DGPS Lake Shoreline Dataset from Field Survey," Shorelines for thaw lakes on the Alaskan North Slope were mapped in the field using high accuracy Differential Global Positioning System (DGPS). Three field sites were mapped over three years beginning with the Barrow peninsula in 2008, near the town of Atqasuk in 2009, and at the southern limit of North Slope lakes in 2010 with about a dozen lakes at each site. These three field sites form a North-South transect of the North Slope."
ACADIS,106.345,Sea Ice Experiment: Dynamic Nature of the Arctic (SEDNA),"The Sea Ice Experiment - Dynamic Nature of the Arctic (SEDNA) is an international collaborative effort to improve the understanding of the interaction between sea ice dynamics and Arctic climate. The SEDNA data portal provides access to 37 entries, from remote sensing to in situ measurements, collected during the ice camp in March and April 2007. 
Data are generally available in three formats: the original format, NetCDF, and ASCII. The original version is not always well documented. The NetCDF version includes carefully collected documentation placed in the header fields of the NetCDF file. Often, data are also available in a separate ASCII file as columns of data concatenated behind the NetCDF header information in plain text form. 
To access the data collected from SEDNA, please use the SEDNA data portal download link below."
ACADIS,106.346,Alaskan Lake Database Mapped from Landsat Images," The lake map for the State of Alaska was generated from selected Landsat acquired during summer seasons of circa 2000. Nearly 400 30-m resolution Enhanced Thematic Mapper Plus (ETM+) images were used to produce the lake map. The database contains over 38,000 lakes larger than 0.1 km2. The spatial coverage of the product is nearly the entire state except the Aleutian islands. The lake product is released at three different levels in response to lake size classes: 
 
  Level 1: large lakes greater than 10 km2; 
  Level 2: medium-sized lakes between 1 and 10 km2; 
  Level 3: small lakes between 0.1 and 1 km2. 
 
 The Alaskan lake products are released in ArcView shapefile format."
ACADIS,106.347,Landsat Derived Historical Lake Extents,"Lake extent maps for the Alaska North Slope and Barrow peninsula were generated from selected Landsat satellite images between 1977 and 2008 available at the United States Geological Survey (USGS) database. The acquisition dates for the images are included in the individual filenames. The lake maps cover 400,000 km2 from 69.6dd N to 71.3dd N and -162.6dd W to -174.1dd W. 
The spatial resolution of the lake maps depends on the resolution of the Landsat image on which it was based. Landsat Multispectral Scanner (MSS) based maps have a resolution of 60 x 60 meters. Landsat Thematic Mapper (TM) and Enhanced Thematic Mapper Plus (ETM+) maps have 30 x 30 meter resolution. 
Lake extent maps are released in ArcView shapefile format. All files are projected in the UTM Zone 4 North with units of meters (m)."
ACADIS,106.348,Near-shore Topography Transects of Barrow area Lakes,"Near-shore topography transects perpendicular to the lake shore were conducted using a Sokkia C310 Automatic Level and survey rod. Survey transects logged location, elevation, and surface condition (e.g., vegetation, snow/ice, or water) at approximately three meter intervals. The transect also measured bathymetry along the transect for several meters into the lake where possible. Survey stations were logged in space by Trimble 5700 GPS receiver with a Zephyr Geodetic antenna. The horizontal accuracy of the Differential GPS (DGPS) point, based on the DGPS point processing reports, was approximately 20 cm. Although vertical accuracy was roughly 200 cm for the DGPS tie point, the accuracy of the transect points relative to each other was ~1cm. 
Most lakes in the area are unnamed so for this study, the lakes were named L and then a number counting up from 100 for lakes mapped in 2008, 200 for lakes mapped in 2009, and 300 for lakes mapped in 2010. 
This dataset is in ArcView shapefile format, and is projected in the UTM Zone 4 North with units of meters (m)."
ACADIS,106.349,Lake Water Level and Temperature from Pressure Sensors," Water level and temperature measurements were collected hourly in June through August for the years 2008 through 2010 several lakes near Barrow and Atqasuk, Alaska. Solinst Levelogger Jr. water level and temperature sensors were used. Water level measurements were compensated for changes in barometric pressure using a Solinst Barologger Gold which was installed on the land surface near the lakes. Loggers were attached to a cable which had an anchor (sandbag) and float. Rafting lake ice moved sensors for the first weeks of each season until complete ice melt-out (generally in late June to early July). Data from the ice rafting periods has been removed from each sensor record. 
 The data are stored in one Microsoft Excel file (.xls) with multiple tabs (water_level_sensors.xls). The depth data are in cm and the temperature data, where available, is in Celsius."
ACADIS,106.350,"Temperature, discharge and light data for Ivishak Hot Spring, Alaska","The productivity of a perennial, Arctic spring-stream was investigated. Ivishak Spring has the stable discharge (~131 L/s) and temperature (~4-8 deg C) typical for springs. It is unusual, however, in having an annual cycle of daylight from 24 hrs/d (summer) to 0 hrs/d (winter). It was tested from the hypothesis that stored detritus would buffer carbon limitation during winter when gross primary production (GPP) is minimized, resulting in constant rates of community respiration (CR) year-round due to constant temperatures. Open-channel methods were used to measure GPP and CR monthly from March 2007 to August 2009. Mean annual GPP was 458 gC/m2. Such a level is typical for temperate desert streams but was surprising for an Arctic stream. Annual CR (887 gC/m2) was also remarkable. The high metabolism of this stream is explained by an open canopy, moderate year-round temperatures, stable bed, and high bryophyte biomass (48 gAFDM/m2). Strong seasonal cycles of GPP were mirrored by CR (r=0.65) indicating the possibility of carbon limitation during winter. This result falsified the hypothesis that CR would be relatively stable year-round due to a detritus buffer and constant temperature."
ACADIS,106.351,"Cosmogenic 14C in Shallow Firn at Summit, Greenland","This small data set contains measurements of cosmogenic 14C-methane and 14C-carbon monoxide, performed on large-volume samples of shallow firn at Summit Station, Greenland."
ACADIS,106.352,"14C Measurements in Large-Volume Ice Samples from Pakitsoq, West Greenland","This dataset contains measurements of 14CH4, 14CO and 14CO2 in large-volume ancient air samples extracted from glacial ice at the Pakitsoq site, West Greenland. The main objective of the project was to measure 14C in past atmospheric CH4 over the Younger Dryas - Preboreal climatic transition to constrain the source of the abrupt atmospheric methane increase at that time."
ACADIS,106.353,Surface (sea floor) and near-surface (box cores) sediment mineralogy in Baffin Bay,"To better understand the glacial history of the ice sheets surrounding Baffin Bay and to provide information on sediment pathways, samples from 82 seafloor grabs and core tops, and from seven box cores were subjected to quantitative X-ray diffraction weight percent (wt.%) analysis of the 2 mm sediment fraction. 
Data published in: Andrews, J. T. and Eberl, D. D., 2011 : Surface (sea floor) and near-surface (box core) sediment mineralogy in Baffin Bay as a key to sediment provenance and ice sheet variations. Canadian Journal of Earth Science, 48: 1307-1328."
ACADIS,106.354,Thermistor data from surface soils and permafrost in the Imnavait Creek watershed,"This dataset includes Imnavait sites 1, 3, and 4. As part of the Chemical Weathering and Organic Carbon Export From Arctic Watersheds, North Slope, Alaska project, thermistors were installed at three locations in Imnavait Creek watershed. This dataset includes the temperature measurements, with depth, from these thermistors. The data are formatted as an Excel spreadsheet."
ACADIS,106.355,"Trace metal concentrations from surface water collected near Toolik Lake, Alaska","As part of the Chemical Weathering and Organic Carbon Export From Arctic Watersheds, North Slope, Alaska project, surface water samples were collected from rivers near the Toolik Field Station between April and October in 2009 and 2010. This dataset includes data from the Trevor and Oksrukuyik creek sites. This dataset includes trace metal concentrations measured from the water samples. The data are formatted as an Excel spreadsheet."
ACADIS,106.356,"Stable oxygen and hydrogen isotope values from surface water collected near Toolik Lake, Alaska","As part of the Chemical Weathering and Organic Carbon Export From Arctic Watersheds, North Slope, Alaska project, surface water samples were collected from rivers near the Toolik Field Station between April and October in 2009 and 2010. This dataset includes data from the Trevor and Oksrukuyik creek sites. This dataset includes stable oxygen and hydrogen isotope values measured from the water samples. The data are formatted as an Excel spreadsheet."
ACADIS,106.357,Observed and naturalized discharge data for large Siberian rivers,"The data set includes two types of discharge data: 1) observed daily discharge values compiled in the State Hydrological Institute, Russia from official sources and 2) modeled naturalized daily discharge. The naturalized discharge means discharge values with excluded human impact. The data can be used in hydro-climatological analysis to understand interactions between climate and hydrology. A specially developed Hydrograph Transformation Model (HTM) was used to eliminate effects of reservoirs and other human impact from discharge records. 
These data are formatted as text documents."
ACADIS,106.358,Nares Strait HLY03-05GC Holocene Sediment Data,"This data set contains paleoceanographic data from core HLY03-05GC taken during cruise HLY03 to Nares Strait in 2003, part of the Canadian Archipelago Throughflow Study (CATS). 
The sedimentologic (sieve fractions), paleoceanographic (foraminifers, stable isotopes) and mineralogic (quantitative x-ray diffraction (QXRD) mineralogy) data from radiocarbon-dated core HLY03-05GC, Hall Basin, northern Nares Strait are included in this dataset. Sieve data were acquired during sieving for foraminiferal sample preparation. Sieve fractions include 1mm, 1mm-106m, 106-63m. Stable C and O analyses were made at Woods Hole Oceanographic Institution (WHOI) on C. neoteretis and N. pachyderma sinistral. QXRD data were measured at the Institute of Arctic and Alpine Research (INSTAAR) using X-ray diffraction. These data are formatted as an Excel document. 
Core HLY03-05 GC: 8137.286'N, 6315.467'W, 372cm long, 797m water depth."
ACADIS,106.359,Actinic Flux measurements during OASIS Barrow field intensive Spring 2009,"A measurement intensive campaign was carried out in Barrow, Alaska, in spring 2009 as part of the Ocean Atmosphere Sea Ice Snowpack (OASIS) program. The central focus of this campaign was the role of halogen chemistry in the Arctic. This dataset contains atmospheric photolysis frequencies at the surface. These data were calculated from the actinic flux measured by the CCD Actinic Flux Spectroradiometers (CAFS). Data are in tab-separated data format (TAB) and are located within one ZIP file."
ACADIS,106.360,Aerosol measurements during OASIS Barrow field intensive Spring 2009,"The NCAR Particle Size Distribution (PSD) instrument consists of three instruments that measure the size distribution of the ambient aerosol from 3 nm to 2 microns. General specifications for the instrument during Ocean-Atmosphere-Sea Ice-Snowpack (OASIS) are as follows: 
 
 Size range: ~3.85 nm to 2 micron 
 Number of diameter bins: 75 
 Time resolution: 5 min 
 
Please see included documentation for full details."
ACADIS,106.361,HO2 and RO2 measurements during OASIS Barrow field intensive Spring 2009,"A measurement intensive campaign was carried out in Barrow, Alaska, in spring 2009 as part of the Ocean Atmosphere Sea Ice Snowpack (OASIS) program. The central focus of this campaign was the role of halogen chemistry in the Arctic. This dataset contains HO2 and RO2 measurements. 
These data were collected using a Chemical Ionization Mass Spectrometer (CIMS) based instrument. An inlet collects ambient air from the free air stream and adds reagents, including O2 or N2 diluents, and NO and SO2 reagent gases. Data were gathered from 01 March 2009 through 14 April 2009."
ACADIS,106.362,Canister sampling during OASIS Barrow field intensive Spring 2009,"Several Volatile Organic Compound (VOC) were measured using the whole air gas canisters. One-minute data is reported, although canisters were filled only three times per day, on average. Sample times are reported in Alaska Standard Time (AKST). The measurement sample height for all canisters was at the 18-foot tower location, through the same inlet and silcosteel line as the Trace Organic Gas Analyzer (TOGA) samples for that tower height. Mixing ratios of VOCs in the canisters were determined by later laboratory analysis using Gas Chromatography with Mass Spectrometry (GC-MS) and Gas Chromatography with Flame Ionization Detection (GC-FID). VOC mixing ratios: All mixing ratios are in pptv. 
Below detection limit -8888

Data not available -9999

Detection limits are  25 pptv.

PI: Eric Apel, apel@ucar.edu. 
The data are formatted as an Excel document."
ACADIS,106.363,"OH, MSA, and H2SO4 measurements during OASIS Barrow field intensive Spring 2009","A measurement intensive campaign was carried out in Barrow, Alaska, in spring 2009 as part of the Ocean Atmosphere Sea Ice Snowpack (OASIS)program. This dataset contains OH, methane sulfonic acid (MSA), and H2SO4 measurements."
ACADIS,106.364,Formaldehyde measurements during OASIS Barrow field intensive Spring 2009,"A measurement intensive campaign was carried out in Barrow, Alaska, in spring 2009 as part of the Ocean Atmosphere Sea Ice Snowpack (OASIS) program. The central focus of this campaign was the role of halogen chemistry in the Arctic. This dataset contains formaldehyde measurements. Detailed information about measurement location, tower sampling heights, estimated errors, etc. are in the data files. The data are formatted as ASCII text documents."
ACADIS,106.365,VOC measurements during OASIS Barrow field intensive Spring 2009,"A measurement intensive campaign was carried out in Barrow, Alaska in spring 2009 as part of the Ocean-Atmosphere-Sea-Ice-Snowpack program. This dataset contains Volatile Organic Compounds (VOCs) measured using the Trace Organic Gas Analyzer (TOGA) during the campaign."
ACADIS,106.366,Location information and pictures of the OASIS Barrow field intensive Spring 2009,"The Ocean Atmosphere Sea Ice Snowpack (OASIS) field campaign was designed to provide a detailed study of atmosphere-cryosphere exchange processes occurring in the Arctic in late winter / early spring and the impact these exchange processes have on the oxidizing capacity of the remote Arctic atmosphere, with an eye toward the understanding of how these processes will evolve in a changing climate. This dataset contains location information in KML and TIFF formats."
ACADIS,106.367,OH reactivity measurements during OASIS Barrow field intensive Spring 2009,"A measurement intensive campaign was carried out in Barrow, Alaska in spring 2009 as part of the Ocean Atmosphere Sea Ice Snowpack (OASIS) program. This dataset contains OH reactivity measurements from that campaign. The data file is ASCII text, comma delimited. 
OH reactivity was measured using a flow tube injector system with Chemical Ionization Mass Spectrometry (CIMS). OH is produced via photolysis of water by an Hg lamp in an injector rod and then introduced to ambient air in a glass flow tube. A complete decay is measured in 2.5 min with units of s^-1. Ambient air was sampled from a height of 2 m above ground level. The level of detection is 2 s^-1, with an uncertainty of plus or minus 25%."
ACADIS,106.368,"Ozone, NOx, and NOy measurements during OASIS Barrow field intensive Spring 2009","A measurement intensive campaign was carried out in Barrow, Alaska in spring 2009 as part of the Ocean-Atmosphere-Sea-Ice-Snowpack program. This dataset contains Ozone, NOx, and NOy measurements from that campaign. The data files are ASCII text files under ZIP compression."
ACADIS,106.369,Peroxy acetyl nitrate measurements during OASIS Barrow field intensive Spring 2009,"A measurement intensive campaign was carried out in Barrow, Alaska in spring 2009 as part of the Ocean-Atmosphere-Sea-Ice-Snowpack program. This dataset contains Peroxy Acetyl Nitrate (PAN) measurements using a Chemical Ionization Mass Spectrometer (CIMS)."
ACADIS,106.370,Meteorology measurements during OASIS Barrow field intensive Spring 2009,"A measurement intensive campaign was carried out in Barrow, Alaska in spring 2009 as part of the Ocean Atmosphere Sea Ice Snowpack (OASIS) program. This dataset contains three-dimensional wind velocities measured at 2 heights (~ 2 m agl and 6 m agl) using sonic anemometers (Applied Technologies, Sonic Anemometer/Thermometer model (SATI/3K)). Also, from the measured speed of sound, virtual potential temperature was also obtained. 
Wind velocities and virtual potential temperature were acquired at 10 Hz. Meteorological variables such as wind speed and direction were obtained from vector-averaging the horizontal wind velocities over 1 minute intervals. Turbulent fluxes, such as friction velocities and sensible heat flux, were obtained from covariances of wind velocities and temperature over 15 minute averages. The longer time scale allows for adequate sampling of larger atmospheric eddies that contribute to the measured flux. Wind speeds and direction are accurate to +/- 0.03 m/s and +/- 0.1 degrees, respectively, according to the manufacturer's specifications. Turbulent fluxes are estimated to be accurate to +/- 10-15% due to statistical sampling issues."
ACADIS,106.371,Circumpolar Flaw Lead (CFL) Photosynthesis-Irradiance Experiments,"The objective of the Circumpolar Flaw Lead (CFL) project is to examine how physical changes affect biological processes within the flaw lead. The CFL system is formed when the central pack ice (which is mobile) moves away from coastal fast ice, opening a flaw lead. The CFL forms in the fall and continues as thin ice or open water throughout the winter. The flaw lead is circumpolar, with recurrent and interconnected polynyas occurring throughout the Arctic. The overarching objectives of the CFL project were to contrast the physical and biological systems of the flaw lead open water and thin ice to the adjacent landfast ice cover. The system will be studied throughout its yearly cycle, to determine the effects of global warming. 
This data set contains results of photosynthesis-irradiance experiments. This dataset has the data formatted as an Excel document and as a CSV document (delimited by tabs and double quotes)."
ACADIS,106.372,"Underwater Acoustic Data from Yahtse Glacier, Icy Bay, Alaska","This dataset contains passive hydroacoustic recordings from an autonomous hydrophone (Passive Aquatic Listener (PAL)) moored in Icy Bay, Alaska. Data were collected in three deployments: 13 May 2009 through 19 July 2009, 20 July 2009 through 19 July 2010, and 27 July 2011 through 29 July 2011. 
PAL spectral data are contained in two tab-delimited ASCII text files. PAL sound bite data are in WAV format, archived by deployment number. The WAV files can be read by any audio processing software, but certain computer software and sound cards may have a limited sampling frequency. Please see documentation listed below for more information regarding data formats, collection, and processing."
ACADIS,106.373,Soil microbial parameters in Alaskan tundra soil through the winter,"This dataset contains measurements of soil nutrient and microbial parameters in tundra soils from the Toolik Field Station through 2008/2009. Soil samples were taken to bracket the winter-to-summer and the summer-to-winter transitions, and then to ensure that at least one full winter was covered. Soil cores were taken and analyzed for inorganic N, extractable organic C and N, and microbial biomass C and N."
ACADIS,106.374,Original Full Resolution Timelapse Images for Columbia Glacier,"This dataset contains timelapse images taken at the Columbia Glacier in Alaska. Images were captured by several cameras placed in several locations, as denoted by camera ID (e.g., AK01, AKHS2). A more detailed description of the camera models, lens, etc., can be found in the inventory (TimeLapse_Inventory.xls) included in the documentation. 
Note: In this dataset, all timelapse images are exactly as they were captured by the camera, with only minor metadata changes applied. Because of this, their use is highly discouraged. For all practical purposes the High or Low resolution datasets with time corrections applied should be used. 
Due to the size of the original image files, this dataset is not available online. Please email the Point of Contact to request these data."
ACADIS,106.375,Time-corrected Low Resolution Timelapse Movies for Columbia Glacier,"This dataset contains timelapse images taken at the Columbia Glacier in Alaska. The images were captured by several cameras placed in several locations, as denoted by camera ID (e.g., AK01, AKHS2). A more detailed description of the camera models, lens, etc., can be found in the inventory (TimeLapse_Inventory.xls) included in the documentation.



In this dataset, timelapse movies of the low-resolution tagged images are encoded in Motion JPEG (MJPEG) codec at 24fps. The data are in AVI file format."
ACADIS,106.376,Time-corrected Low Resolution Timelapse Images for Columbia Glacier,"This dataset contains timelapse images taken at the Columbia Glacier in Alaska. Images were captured by several cameras placed in several locations, as denoted by camera ID (e.g., AK01, AKHS2). A more detailed description of the camera models, lens, etc., can be found in the inventory (TimeLapse_Inventory.xls) included in the documentation.



In this dataset, all timelapse images are time-corrected, resized to 968x648 pixels, and timestamped with CAMID YYYY/MM/DD HH:MM:SS. The data are in TAR file format."
ACADIS,106.377,Time-corrected High Resolution Timelapse Images for Columbia Glacier,"This dataset contains timelapse images taken at the Columbia Glacier in Alaska. Images were captured by several cameras placed in several locations, as denoted by camera ID (e.g., AK01, AKHS2). A more detailed description of the camera models, lens, etc., can be found in the inventory (TimeLapse_Inventory.xls) included in the documentation. 


This dataset includes a complete copy of the TimeLapse Originals but in high resolution, with time adjustments applied (and files renamed as needed) to synchronize all camera clocks to UTC. The data are in TAR file format."
ACADIS,106.378,Experimental freeze down of tundra soils,"Samples were collected as part of a laboratory experiment assessing the effects of the rate of freezing and of the final temperature on soil nutrient dynamics and microbial biomass. Measurements include microbial respiration, biomass, nutrient mineralization, and release of soluble/extractable organic C and N. The experiment was performed at the Toolik Field Station/Long Term Ecological Research Program (LTER) plots. These data are contained within one Excel file."
ACADIS,106.379,"Digital Elevation Models for Aerial Stereographic Flights, 2002-2010","Aerial stereophotography missions were flown at least once every year over the Columbia Glacier in 1976-2010, and documented further in the Aerial Inventory. Flight data include all existing scans of the large format diapositives and their derived data products from 2002-2010. 
This dataset is specific for digital elevation models (DEMs) for aerial stereographic flights 2002-2010. The data are in TAR file format."
